날짜,시가,고가,저가,현재가,거래량
20080102,89400,93900,89000,93400,1653647
20080103,92700,94900,90200,94900,1232885
20080104,94500,98700,93100,98000,1482956
20080107,95600,98700,95000,96800,1289461
20080108,96900,97400,88000,89500,3097298
20080109,87300,90900,85700,90900,1659670
20080110,91900,93000,89900,89900,766562
20080111,90200,90800,85400,86500,1020757
20080114,85800,88000,84900,86000,781139
20080115,87800,88700,84800,86200,695427
20080116,85400,87300,83300,85000,889933
20080117,86500,86800,83700,85100,671940
20080118,84100,88000,82100,88000,888116
20080121,86700,86900,79200,80100,1146046
20080122,75000,76100,70000,75300,1527149
20080123,78900,79000,71500,73800,1424112
20080124,76000,78200,75400,76000,1033121
20080125,76700,78300,76600,76800,669299
20080128,74800,75700,72700,75000,554357
20080129,76600,77000,72300,73100,594540
20080130,73400,74000,62300,66500,1563319
20080131,64000,69700,62500,69500,1023099
20080201,71000,72000,68000,68000,791838
20080204,71500,78200,71500,78200,1544341
20080205,78400,83000,76600,80800,1215355
20080211,77400,81400,76900,78000,734847
20080212,80000,80300,78100,79000,597789
20080213,80200,80600,77700,78000,442727
20080214,79400,82200,79400,82200,773611
20080215,80600,83500,80100,83000,596460
20080218,83300,87800,82500,86300,860412
20080219,89000,89500,86800,87100,689425
20080220,86800,88900,84700,86000,516386
20080221,88900,89200,87000,87000,673582
20080222,86400,88700,86400,88600,561679
20080225,89800,89800,87000,87700,841256
20080226,88100,89000,86200,87500,521538
20080227,88300,88700,86000,86000,621029
20080228,85800,88400,85300,88400,495887
20080229,87500,88100,86300,86300,273087
20080303,83000,84700,82700,84600,421242
20080304,84800,85700,83800,85000,386550
20080305,87000,90500,86800,88700,1218321
20080306,89300,90000,87000,89700,745633
20080307,88300,88500,86800,86900,504950
20080310,83900,86900,83500,84500,518566
20080311,83800,86400,83600,86400,438199
20080312,88400,89000,85000,85000,678362
20080313,85300,86300,82100,85000,649478
20080314,85500,85700,79100,80000,775246
20080317,76700,78000,74500,76000,1011519
20080318,76700,79100,76400,78000,661345
20080319,81000,81800,79300,80000,778837
20080320,78000,84000,78000,83200,657164
20080321,84700,87700,84600,87000,711879
20080324,89000,89400,86200,86200,451233
20080325,87000,89200,86700,88500,862433
20080326,88000,90500,86900,89000,994692
20080327,86700,87400,83500,83500,1292324
20080328,83600,86300,83500,84700,677348
20080331,86000,86000,84500,86000,394364
20080401,86700,86700,84600,86500,489724
20080402,87700,89300,87400,89000,924532
20080403,89100,89200,87400,88600,477690
20080404,88300,89800,87000,89800,464670
20080407,90200,93300,88900,93000,1178782
20080408,93400,93700,91400,91900,723872
20080410,91900,93400,90800,92100,654786
20080411,92200,92500,89400,91900,647075
20080414,89900,91500,88700,89000,580431
20080415,88400,90800,88300,90200,508280
20080416,90800,93100,90600,92000,730988
20080417,92400,92500,89600,91000,590404
20080418,90800,91600,88700,91500,670381
20080421,92500,94700,92000,92500,842289
20080422,92500,94300,92200,93000,629594
20080423,93000,94100,91900,92000,431731
20080424,92500,93600,90100,90300,430472
20080425,91400,92100,90500,91800,291059
20080428,92500,93100,91500,92200,389666
20080429,92900,93100,91300,92200,257442
20080430,92200,92300,90100,92200,345586
20080502,92700,94500,92700,92800,523974
20080506,93100,94200,90500,90600,600330
20080507,90300,90600,85700,88000,1448340
20080508,86000,87300,86000,86600,638342
20080509,86900,87500,84100,84900,622938
20080513,85500,87100,85100,85500,618891
20080514,85400,87100,84800,86900,448661
20080515,87400,89000,86300,88600,558085
20080516,89000,89400,87600,89300,470765
20080519,88700,89300,86500,87000,376420
20080520,86400,88900,85700,85800,426824
20080521,84900,85200,82500,82800,628017
20080522,81700,84400,81300,83900,439625
20080523,83800,85800,83500,84100,336197
20080526,83800,85600,83700,85100,269402
20080527,85100,86200,84500,85700,252815
20080528,86100,86300,84200,84700,242276
20080529,85000,86000,85000,85600,229463
20080530,86000,88000,85000,87900,533819
20080602,87700,88000,86400,86400,321701
20080603,85200,85400,83800,84300,338375
20080604,84000,84300,82600,84100,363778
20080605,84000,84100,81600,81700,572003
20080609,79700,83700,79100,83700,405275
20080610,83800,83900,81600,83400,359493
20080611,83000,83900,82400,83600,319477
20080612,82500,84000,81700,84000,579245
20080613,82800,84000,81700,84000,363492
20080616,83500,83800,80200,81000,553900
20080617,80100,81000,76000,76900,987467
20080618,76500,78200,75600,77600,862536
20080619,76500,76800,74100,75000,958953
20080620,75000,75900,73400,74200,584473
20080623,72900,75400,72600,75000,542602
20080624,75000,75000,73000,73600,462181
20080625,73200,73500,71300,73100,626022
20080626,73500,73700,71100,71100,421363
20080627,68700,69400,68000,69000,819238
20080630,68900,70600,68800,69500,649375
20080701,69500,69900,67900,68400,358891
20080702,68300,68800,64800,65600,577751
20080703,63100,67000,62200,67000,1051039
20080704,66600,66800,62000,64000,925690
20080707,62200,63500,60100,60100,1007591
20080708,59100,59500,53300,55000,2158960
20080709,57000,58300,55700,56500,1472118
20080710,54700,64900,54700,64900,1253683
20080711,64700,66500,61700,65300,1310053
20080714,64500,65000,61700,62400,781698
20080715,61400,62000,56000,58100,1391462
20080716,58500,59300,54900,58100,1502869
20080717,61000,61300,57700,57800,848674
20080718,59500,60300,56400,57200,689964
20080721,58100,62500,58000,61500,1314035
20080722,61200,62400,60000,61500,680415
20080723,63700,68100,63400,67300,2075105
20080724,66500,68600,66100,67400,1264587
20080725,65300,67800,65300,67800,896258
20080728,69300,70400,68200,68600,935231
20080729,67200,67800,65100,67500,832920
20080730,69700,70000,66100,69800,977771
20080731,69800,70300,67900,68800,640695
20080801,67600,67900,62600,62900,1456001
20080804,62800,62800,59300,62500,645981
20080805,61700,63300,59400,59900,1037975
20080806,61700,64500,61200,64100,905296
20080807,64200,64700,61400,63400,912024
20080808,61800,65200,61200,64800,703014
20080811,66000,68000,66000,67000,830657
20080812,67900,68300,66100,66500,828351
20080813,66100,67600,65300,66200,428122
20080814,65800,66800,64800,66800,524723
20080818,68200,69400,67300,67300,640848
20080819,66600,67400,64800,65500,554199
20080820,64200,67100,64100,66200,476721
20080821,66600,66800,61700,61700,728635
20080822,61500,61900,59000,59800,705745
20080825,61000,61700,59500,60100,452766
20080826,58000,59900,57500,58600,444072
20080827,57700,59200,56300,58200,720171
20080828,58700,59000,56200,56200,366616
20080829,57200,58200,55900,56400,611906
20080901,55000,55300,51600,53000,932816
20080902,52300,54500,52300,53000,626025
20080903,52900,59600,52800,59500,1148157
20080904,59000,60300,57600,59500,599071
20080905,57500,60400,57200,59300,532980
20080908,61500,67500,61200,65400,1308203
20080909,65400,66600,63800,65200,965052
20080910,64200,68000,63500,66500,762046
20080911,67000,69200,66500,68000,1019343
20080912,69300,71200,68600,68600,844179
20080916,60200,66900,60200,63800,1119983
20080917,66500,68000,65300,65700,1527969
20080918,64000,66700,63700,66000,891925
20080919,68900,69400,67300,67900,1040782
20080922,69300,71400,68500,71000,1659880
20080923,70300,71700,70100,71200,710846
20080924,70900,71500,69600,70600,857004
20080925,70000,70700,68800,69100,605142
20080926,69100,69600,66000,66300,753408
20080929,67800,68600,66700,67100,807823
20080930,63500,69900,63400,69900,762382
20081001,69700,70200,68200,68200,381445
20081002,68400,69600,64600,65100,684956
20081006,64000,65500,60800,60800,925969
20081007,59900,65000,59500,64300,876541
20081008,62300,64500,61800,62300,741303
20081009,63700,67800,62400,66500,1221965
20081010,65000,65500,62000,64600,1093183
20081013,68200,68500,64100,64800,1228564
20081014,66700,68300,66500,67400,1061639
20081015,66400,68200,65000,66000,624050
20081016,62700,63500,56100,56100,1179816
20081017,58600,59000,48200,53000,1474809
20081020,55000,56300,50400,56300,983663
20081021,58500,59100,56100,58500,1381831
20081022,58000,58500,49800,53000,1124773
20081023,48500,49850,45100,45100,1791704
20081024,44700,45100,38350,38350,2411476
20081027,39000,42450,38400,40000,2184625
20081028,38150,44950,38000,43800,1933877
20081029,46250,48300,37250,39500,2119028
20081030,43700,45400,40700,45400,1068665
20081031,46200,52200,45500,52200,1658085
20081103,51900,54500,50000,50000,1706698
20081104,51300,56600,50600,52900,2007946
20081105,54700,56000,50200,52000,1979508
20081106,48600,49700,44500,46500,834378
20081107,43200,49400,43200,48500,1180532
20081110,49650,51800,47500,50700,1116091
20081111,49500,53100,49050,50900,1314233
20081112,49500,53300,49400,51100,882803
20081113,48900,50800,48200,50800,635469
20081114,53500,54300,52100,52800,945804
20081117,54000,57100,52700,53300,1326820
20081118,52000,53000,49000,49000,631420
20081119,49900,50400,46750,49500,541954
20081120,45200,46450,42100,42100,645427
20081121,40000,47950,38800,46950,763755
20081124,45950,47450,41150,42300,983798
20081125,45000,45300,40250,41900,1186485
20081126,42350,48000,42100,47800,1315822
20081127,49200,52300,47500,48900,1632173
20081128,49200,53000,48100,50100,1319517
20081201,51300,52600,50000,50000,658407
20081202,46500,49450,46500,48150,705628
20081203,49500,50800,48050,48350,794023
20081204,50000,50300,44100,45000,737099
20081205,45400,46400,44650,46300,439604
20081208,47500,52500,46900,51400,1382316
20081209,51400,52300,49800,50300,1049369
20081210,51100,54800,49700,53200,1657687
20081211,53600,56900,53200,54500,1592390
20081212,53900,56700,52200,53500,1117102
20081215,56500,61500,55800,61500,1942976
20081216,61500,65500,59400,60000,2473816
20081217,63000,63000,56400,58200,1792944
20081218,58600,60800,57000,60000,1339726
20081219,60000,61000,58500,61000,1114690
20081222,62300,63800,59200,59900,1464864
20081223,59000,59600,56200,56300,892400
20081224,55500,56800,53200,56600,755411
20081226,56600,58400,55200,57300,678082
20081229,57900,58700,56400,57400,446975
20081230,57800,58900,57100,57100,594778
20090102,58700,61900,57400,61800,860118
20090105,62600,63200,61200,62000,1001405
20090106,62800,63100,60800,61300,1140817
20090107,62200,64700,61300,62700,1590548
20090108,61500,63500,61000,62300,861064
20090109,63400,63500,60200,60600,813839
20090112,58700,59700,56800,57200,782110
