날짜,시가,고가,저가,현재가,거래량
20080102,9300,9320,8720,8720,292570
20080103,8640,8660,8390,8520,151140
20080104,8530,8580,8370,8450,92300
20080107,8260,8600,7790,8500,333660
20080108,8400,8870,8400,8830,124210
20080109,8800,8990,8570,8910,127780
20080110,8930,8930,8710,8750,98720
20080111,8700,8850,8420,8460,109700
20080114,8400,8550,8300,8460,58640
20080115,8350,8460,7820,8200,73060
20080116,7920,8190,7900,8050,39290
20080117,8000,8390,7850,8370,111920
20080118,8350,8800,8060,8800,83860
20080121,8870,8870,8350,8790,89830
20080122,8450,8570,8290,8530,43110
20080123,8530,8720,8250,8410,96900
20080124,8500,8720,8350,8720,107290
20080125,8790,8800,8630,8780,101160
20080128,8800,8800,8510,8510,17470
20080129,8430,8550,8420,8510,17820
20080130,8650,8650,8360,8440,21670
20080131,8250,8620,8140,8600,56850
20080201,8470,8680,8380,8600,23540
20080204,8530,8720,8510,8700,81020
20080205,8610,8690,8500,8670,54500
20080211,8460,8470,8280,8280,17250
20080212,8210,8490,8060,8490,70670
20080213,8700,8700,8190,8190,60280
20080214,8300,8340,8000,8300,261510
20080215,8280,8300,8020,8250,229060
20080218,8160,8290,7940,7940,132840
20080219,8010,8050,7840,8000,129160
20080220,7950,7980,7800,7800,61600
20080221,7800,7910,7670,7900,130480
20080222,7900,7900,7630,7630,108260
20080225,7630,7720,7400,7420,131750
20080226,7400,7490,7150,7270,215490
20080227,7300,7460,7270,7370,375660
20080228,7410,7600,7380,7550,113470
20080229,7540,7700,7450,7700,92870
20080303,7470,7790,7470,7750,473570
20080304,7740,7740,7650,7720,32920
20080305,7650,7700,7550,7590,48010
20080306,7540,7630,7470,7590,33220
20080307,7580,7580,7400,7450,23220
20080310,7450,7450,7150,7150,42270
20080311,7220,7230,6910,7200,115270
20080312,7400,7400,7000,7280,408820
20080313,7140,7250,7090,7150,54830
20080314,7150,7220,6890,7040,58000
20080317,6960,6980,6770,6880,37330
20080318,6820,6940,6640,6640,62430
20080319,6840,7080,6710,6710,111930
20080320,6670,6970,6670,6970,69700
20080321,6930,7180,6930,7100,503190
20080324,7130,7190,7020,7150,33270
20080325,7190,7200,7090,7150,38130
20080326,7150,7270,7030,7270,56840
20080327,7110,7340,7110,7320,49820
20080328,7230,7410,7200,7340,56340
20080331,7380,7380,6970,7350,345840
20080401,7330,7330,7180,7240,21210
20080402,7250,7300,7050,7080,134930
20080403,7080,7150,7030,7150,78490
20080404,7090,7150,7080,7120,39210
20080407,7150,7270,7150,7160,151630
20080408,7180,7190,7050,7060,51970
20080410,7130,7130,6990,7000,137430
20080411,7010,7250,7000,7230,248600
20080414,7230,7230,7160,7210,124060
20080415,7150,7230,7030,7210,109510
20080416,7230,7380,7230,7350,266440
20080417,7350,7570,7350,7500,107930
20080418,7500,7650,7450,7510,132850
20080421,7520,7740,7520,7700,267920
20080422,7760,7890,7700,7730,285510
20080423,7800,8160,7800,8070,827050
20080424,8380,8450,8230,8380,801290
20080425,8450,8450,8230,8310,532870
20080428,8390,8390,8190,8300,90830
20080429,8300,8300,8110,8190,126710
20080430,8120,8310,8100,8220,153510
20080502,8230,8390,8080,8300,563910
20080506,8490,8490,8380,8400,346670
20080507,8400,8500,8390,8410,148870
20080508,8410,8780,8410,8740,194870
20080509,8850,8990,8770,8900,176170
20080513,8900,8900,8470,8600,265730
20080514,8600,8600,8150,8500,350920
20080515,8390,8490,8280,8490,177120
20080516,8360,8480,8340,8390,150460
20080519,8350,8370,8200,8350,166290
20080520,8280,8340,8210,8260,165870
20080521,8240,8240,8160,8210,167510
20080522,8210,8380,8090,8230,111860
20080523,8340,8340,8190,8220,38220
20080526,8200,8350,8190,8350,98560
20080527,8350,8370,8160,8370,172210
20080528,8370,8370,8150,8150,107360
20080529,8200,8490,8060,8490,164790
20080530,8410,8750,8320,8740,194530
20080602,8720,8720,8590,8590,71900
20080603,8450,8540,8370,8390,46570
20080604,8290,8470,8250,8470,125750
20080605,8470,8510,8310,8480,63160
20080609,8210,8240,8140,8210,130090
20080610,8180,8210,7960,8000,143020
20080611,7980,8140,7900,7900,157600
20080612,7900,8070,7760,8030,72600
20080613,8030,8070,7900,8040,75870
20080616,8100,8100,7940,8020,66130
20080617,8350,8630,7990,8080,477920
20080618,8110,8160,7920,7940,138330
20080619,7960,7960,7640,7790,173540
20080620,7790,7830,7540,7750,197160
20080623,7590,7880,7350,7880,106400
20080624,7920,7920,7660,7730,123150
20080625,7730,7780,7630,7780,30750
20080626,7830,7830,7660,7700,113970
20080627,7450,7640,7400,7540,139990
20080630,7430,7450,7360,7440,102860
20080701,7320,7500,7300,7300,81510
20080702,7020,7210,6950,6950,176160
20080703,6900,7070,6770,6860,265320
20080704,6860,7000,6740,6900,113100
20080707,6790,6900,6530,6710,240460
20080708,6630,6640,6300,6450,130640
20080709,6470,6590,6380,6380,129930
20080710,6230,6520,6160,6520,186010
20080711,6490,6780,6440,6670,304410
20080714,6690,6780,6570,6690,95530
20080715,6750,6750,6510,6510,117590
20080716,6570,6800,6570,6700,289760
20080717,6870,6890,6740,6790,126570
20080718,6800,6870,6770,6800,154150
20080721,6800,6890,6560,6620,457710
20080722,6520,6600,6220,6270,544660
20080723,6390,6890,6380,6890,817170
20080724,6770,6830,6620,6750,503680
20080725,6700,6700,6410,6500,429460
20080728,6540,6620,6440,6520,224710
20080729,6400,6460,6290,6440,225630
20080730,6590,6640,6510,6590,264090
20080731,6700,6820,6610,6660,258510
20080801,6630,6690,6590,6590,139160
20080804,6600,6600,6060,6490,240910
20080805,6470,6780,6100,6750,537150
20080806,6750,7260,6750,7060,382440
20080807,7200,7240,7000,7230,260970
20080808,7150,7280,7100,7270,88990
20080811,7200,7310,7200,7270,82060
20080812,7300,7560,7230,7450,203790
20080813,7400,7400,7230,7230,24870
20080814,7150,7390,7150,7390,43860
20080818,7420,7420,7160,7190,75970
20080819,7150,7150,6940,7150,71900
20080820,7090,7150,7000,7140,51070
20080821,7140,7170,7060,7140,103310
20080822,7140,7140,6920,7050,54490
20080825,7110,7280,7020,7120,124260
20080826,7130,7230,7060,7130,152500
20080827,7080,7300,6830,7300,148930
20080828,7280,7300,7120,7300,72510
20080829,7300,7480,7300,7360,291480
20080901,7360,7360,7030,7300,142530
20080902,7150,7290,6970,6970,204430
20080903,6870,6970,6740,6950,160750
20080904,6800,7020,6800,6970,46970
20080905,6800,6990,6740,6880,113860
20080908,6950,7210,6950,7110,66060
20080909,7110,7270,7050,7070,65190
20080910,7060,7060,6960,7030,62280
20080911,7030,7140,6890,7000,197920
20080912,7110,7110,6890,7070,148270
20080916,6710,6780,6550,6550,105870
20080917,6690,6720,6600,6630,111610
20080918,6500,6530,6370,6420,98740
20080919,6600,6690,6520,6670,66610
20080922,6710,6860,6610,6720,97960
20080923,6680,6860,6680,6800,59270
20080924,6800,7200,6700,7200,81090
20080925,7170,7170,6950,6980,242390
20080926,7050,7080,6990,7050,98460
20080929,7160,7160,6880,7000,120190
20080930,6100,7350,6100,7350,300660
20081001,7350,7350,7110,7200,114840
20081002,7280,7280,6950,7120,122360
20081006,7120,7120,6820,6990,35820
20081007,6700,6780,6620,6620,99310
20081008,6490,6680,6220,6330,52220
20081009,6380,6600,6300,6450,65180
20081010,6300,6300,5730,6250,163110
20081013,5930,6500,5930,6290,61060
20081014,6510,6600,6460,6510,38200
20081015,6590,6590,6370,6450,21770
20081016,6150,6330,5510,5600,78370
20081017,5900,5900,5300,5600,40120
20081020,5500,5590,5210,5580,33550
20081021,5610,5800,5350,5520,68090
20081022,5370,5400,4950,5200,111820
20081023,4810,4850,4420,4420,744620
20081024,4210,4420,3980,4120,257470
20081027,3855,4495,3505,4000,244540
20081028,3550,4575,3550,4465,344770
20081029,4530,4650,3800,4200,388430
20081030,4500,4645,3920,4530,1076130
20081031,4530,4550,4210,4380,806530
20081103,4400,4500,4260,4440,464020
20081104,4550,5050,4520,5050,450220
20081105,5110,5180,4845,4980,622890
20081106,4650,4665,4370,4410,284820
20081107,4260,4700,4200,4700,414750
20081110,4730,4890,4635,4860,149300
20081111,4720,4835,4630,4695,314000
20081112,4555,4775,4545,4740,191960
20081113,4550,4620,4280,4620,254000
20081114,4710,4730,4505,4545,150750
20081117,4425,4590,4350,4575,107500
20081118,4495,4500,4290,4290,54460
20081119,4240,4380,4115,4380,75800
20081120,4080,4230,3995,4200,221000
20081121,3800,4570,3800,4570,138930
20081124,4400,4550,4400,4485,35700
20081125,4590,4600,4450,4600,164780
20081126,4740,4950,4605,4950,187740
20081127,4950,5100,4850,5100,259580
20081128,5100,5610,4995,5610,604950
20081201,5510,5510,4905,4905,518230
20081202,4685,4850,4570,4830,212200
20081203,4890,4890,4675,4700,130900
20081204,4750,4750,4620,4625,79600
20081205,4425,4600,4425,4500,150860
20081208,4535,4880,4500,4795,428840
20081209,4810,4870,4670,4680,164010
20081210,4590,4720,4575,4680,292050
20081211,4655,4695,4560,4590,409280
20081212,4560,4700,4325,4395,273620
20081215,4430,4595,4430,4595,297520
20081216,4530,4690,4530,4605,355720
20081217,4700,4880,4650,4800,411470
