날짜,시가,고가,저가,현재가,거래량
20080102,86600,87000,84100,84600,583683
20080103,84000,84900,83500,84600,201599
20080104,84600,85400,83300,84300,223130
20080107,82900,83700,81900,83200,278368
20080108,82100,84600,82100,82900,210410
20080109,82100,84800,81500,84000,324136
20080110,83700,84700,83200,83400,379757
20080111,83700,84500,80700,81500,650489
20080114,80000,80700,78900,79600,608356
20080115,79600,79800,76300,77400,782632
20080116,76500,77200,75100,76500,643841
20080117,76500,77500,74800,75800,455027
20080118,74800,75800,73400,75300,950540
20080121,74900,75000,72300,74300,624844
20080122,72200,73000,71200,73000,560987
20080123,74200,75900,73000,74000,654936
20080124,74600,76200,74500,74800,402355
20080125,76000,78000,75700,77300,758125
20080128,76500,78300,75600,76000,439821
20080129,77500,78500,76800,78300,610554
20080130,77900,78500,75500,76600,723979
20080131,77000,77800,75800,77700,619282
20080201,77700,78500,75300,76000,641344
20080204,75500,76700,75200,76000,508903
20080205,76000,76600,74800,75700,374739
20080211,74500,75500,74200,75200,275145
20080212,75200,75700,74100,74500,335018
20080213,74300,74700,72200,72200,781353
20080214,72500,75200,72500,74000,535487
20080215,73200,73400,72300,73300,473240
20080218,73800,74700,72700,73000,293632
20080219,73700,73800,71900,72400,522944
20080220,72000,72200,69500,69500,960898
20080221,70300,70900,69600,69700,487063
20080222,70200,70600,69000,69700,403871
20080225,70400,71600,69700,71200,341120
20080226,71700,72000,70000,70300,309934
20080227,71000,71500,70700,71000,324210
20080228,71700,73600,71700,72900,718828
20080229,73800,74100,72900,72900,583298
20080303,71500,71800,70900,71400,430133
20080304,71400,71700,70600,71400,322660
20080305,69900,70200,69300,69500,873198
20080306,69500,70400,69500,70400,358024
20080307,69000,69600,68300,69400,369237
20080310,68100,69100,68100,68300,569182
20080311,68000,69400,67500,69100,751680
20080312,70900,71200,69200,69200,430002
20080313,68900,69600,68000,68000,365051
20080314,69000,69600,67600,68600,405175
20080317,68900,69200,67800,68100,555196
20080318,69200,71100,68300,69300,665136
20080319,71100,72000,70600,71300,571508
20080320,70800,73400,70800,72300,791985
20080321,73100,73800,72100,72500,521971
20080324,72800,73400,72500,73200,303830
20080325,73700,75200,73100,74400,727102
20080326,74500,74700,74100,74500,478676
20080327,74100,75700,73600,75000,608634
20080328,75000,77200,74800,77000,1268902
20080331,76400,77900,76400,77200,653723
20080401,76600,77200,75400,76400,471574
20080402,77300,79200,77200,78700,1121172
20080403,78700,79900,78300,78300,662725
20080404,78300,78300,76700,77600,379150
20080407,77000,77800,76400,77000,439281
20080408,76800,77200,75800,76600,403564
20080410,77100,78500,76700,77800,546883
20080411,78100,81400,78000,81000,1245938
20080414,80100,83500,80100,82700,897162
20080415,82700,83600,81200,82700,597223
20080416,82200,82400,81400,82000,452737
20080417,82500,82700,81100,82200,478171
20080418,82400,82600,81500,82200,607251
20080421,82700,84400,82100,83200,1176983
20080422,83600,85400,83400,85000,935944
20080423,84200,85600,83000,83200,546740
20080424,83200,84000,81800,82400,350828
20080425,82500,85600,82500,85500,613406
20080428,86100,87500,85500,86300,368936
20080429,87000,91000,85700,89000,1033181
20080430,89200,92200,89000,91900,831342
20080502,92900,95500,92700,94800,1151955
20080506,95300,95700,93200,94300,500272
20080507,94100,96500,94100,95100,389608
20080508,94100,96500,93300,93600,377841
20080509,94500,94600,91600,93600,387405
20080513,93500,96000,92900,96000,446542
20080514,95900,96500,93600,95400,371502
20080515,94700,98300,94700,98200,480174
20080516,97500,99200,96400,97000,317544
20080519,97300,97600,93200,94400,623320
20080520,94400,94400,91400,92000,604669
20080521,91000,93500,90500,91900,481231
20080522,90900,92800,88900,91500,429456
20080523,91400,91900,89800,91200,331420
20080526,90200,91300,88400,90300,327783
20080527,90600,91200,89300,90600,245910
20080528,90100,90600,87500,87600,558545
20080529,88200,90800,88000,90300,483086
20080530,91100,92000,90300,91800,416260
20080602,92000,92500,89100,89300,425880
20080603,88500,89300,86100,86400,573206
20080604,86400,88600,86200,87700,353428
20080605,87300,88600,86400,88400,328926
20080609,85600,88200,85600,87200,299694
20080610,87000,87200,84100,85700,467254
20080611,86500,87100,85000,86600,338036
20080612,85400,85900,84000,84000,446681
20080613,84600,86500,83300,85700,517657
20080616,87500,90100,86300,90000,776978
20080617,90900,91300,89900,91000,537412
20080618,91000,92200,89700,91000,350653
20080619,90000,90000,88900,90000,254368
20080620,90100,90600,87000,89200,371474
20080623,88000,88600,87500,88100,387196
20080624,87300,89200,87100,88400,306697
20080625,88800,89300,87400,89000,297261
20080626,89000,89200,87800,88800,210425
20080627,87000,87100,84900,85700,530649
20080630,84800,85500,83400,84700,399189
20080701,83800,84500,81400,82700,694907
20080702,83500,83800,80600,81800,366141
20080703,80800,82300,80400,81500,403055
20080704,81500,82800,80800,80800,252343
20080707,80500,82800,79400,81300,330744
20080708,80800,81300,78500,79700,407965
20080709,80700,80900,76900,78000,741513
20080710,78000,78500,76700,78000,595821
20080711,78600,79600,77000,78900,476394
20080714,78900,79300,77600,78200,314606
20080715,77700,78000,75600,76400,313656
20080716,76200,77900,76000,77000,303282
20080717,78300,78900,77000,77000,274834
20080718,78000,79100,76900,77300,253429
20080721,78300,80400,78200,79800,533862
20080722,79300,80800,79300,80300,191384
20080723,81000,83300,80500,81800,836919
20080724,82200,85400,82200,85000,746648
20080725,84000,85500,83100,84900,468807
20080728,85200,85800,84100,85800,324158
20080729,84000,86800,82000,86100,705281
20080730,88000,90100,87300,88800,824270
20080731,90500,90500,87500,88700,511923
20080801,89000,89200,86700,88000,348366
20080804,88900,88900,85000,87300,278128
20080805,86000,88900,86000,87500,412824
20080806,88600,90000,87500,88500,388487
20080807,89000,90000,87500,88100,460448
20080808,88400,90800,88100,89500,388190
20080811,90500,91500,90000,90000,313943
20080812,91500,91500,88800,88800,195066
20080813,88900,89800,88000,89300,221758
20080814,89500,90600,88500,88900,325256
20080818,88900,88900,86500,88500,398327
20080819,88400,88500,86400,88200,271716
20080820,88300,89800,88000,88600,305939
20080821,90000,90000,88200,89000,227122
20080822,89700,90000,87200,90000,349984
20080825,90000,90500,88400,89100,261346
20080826,88000,90900,87800,90900,506441
20080827,91000,91500,88700,90500,365354
20080828,90000,90300,87700,89900,305207
20080829,90900,92000,90400,91000,395731
20080901,90000,92300,89700,91200,445531
20080902,91200,92100,90700,92000,470689
20080903,91100,94000,89600,90600,477514
20080904,91700,92000,89000,91600,246300
20080905,90800,91900,89100,91000,381759
20080908,91600,93900,91600,93900,545743
20080909,93500,93700,89800,90000,545547
20080910,89900,90000,85100,86300,1132219
20080911,86400,87700,84000,86000,1229669
20080912,87300,87700,85500,86000,394388
20080916,81000,85700,81000,85300,541287
20080917,86100,86200,83500,84200,618299
20080918,82400,82500,80300,81200,599981
20080919,83500,88000,83200,84900,612430
20080922,85800,88400,84300,87000,447768
20080923,87400,89900,86900,89700,512752
20080924,90100,92500,89100,91000,455533
20080925,90700,91800,88500,90800,303211
20080926,91100,92700,89900,91400,249568
20080929,91000,92200,89500,91200,366723
20080930,88800,93200,87000,91900,467479
20081001,91500,91900,89900,91600,611387
20081002,91500,94200,91500,93600,655025
20081006,92000,93000,88500,92800,576463
20081007,91400,94400,91200,93600,598443
20081008,93900,95400,92100,93600,735754
20081009,91200,96000,91200,94900,505691
20081010,93000,93500,87600,90000,525187
20081013,92700,92900,86000,86700,832459
20081014,90100,90800,87100,89100,475598
20081015,87400,91300,87300,90800,416766
20081016,88400,88400,82900,86300,639049
20081017,86300,88900,83000,85800,608002
20081020,85800,90800,84800,90100,595256
20081021,90900,91200,87700,87700,319657
20081022,86200,88800,80700,83000,504746
20081023,78000,82700,75700,80100,584365
20081024,79600,79800,68100,70500,647212
20081027,70400,77600,67500,77600,958043
20081028,71500,81900,71100,79400,1116230
20081029,81800,83400,74700,75000,797711
20081030,80900,82900,75200,80000,1222838
20081031,74000,79000,71900,74900,2807354
20081103,77000,77800,73700,76000,1634024
20081104,76900,78400,76300,77900,852145
20081105,79500,81300,77800,79600,1183771
20081106,76000,76500,72900,74600,1137137
20081107,71500,76100,71300,75700,913496
20081110,76000,77000,73500,76400,484727
20081111,75200,79000,73600,77100,768637
20081112,76000,80100,75900,78000,657454
20081113,75600,79900,75600,79000,668796
20081114,80400,80400,76800,78200,681375
20081117,76800,79400,75100,77600,531087
20081118,76300,79000,75700,75900,361425
20081119,75500,75900,71300,74500,414647
20081120,71400,72700,68800,70600,432023
