날짜,시가,고가,저가,현재가,거래량
20080102,117000,122000,115000,115000,64355
20080103,115000,117500,113500,116000,66731
20080104,118000,120500,115500,119000,87260
20080107,117000,124500,115500,122500,142762
20080108,124000,124000,119500,123000,57420
20080109,124500,124500,116000,122500,130301
20080110,121000,122500,114500,115500,246156
20080111,116500,118000,108500,111000,97348
20080114,110500,113000,106000,109000,107346
20080115,108500,109000,103000,106000,129565
20080116,104000,104000,97300,99000,219506
20080117,100000,102500,98100,101000,94859
20080118,99000,100500,93700,100500,172764
20080121,101500,101500,94600,96800,101361
20080122,93400,93800,89300,93800,118864
20080123,95600,95900,89600,90600,158642
20080124,92000,94300,90700,90700,134889
20080125,92000,96200,92000,94900,175132
20080128,94800,95600,89700,92100,99591
20080129,93700,93900,90200,92000,82776
20080130,94000,94000,89200,91600,126833
20080131,91500,91500,89000,90000,177735
20080201,90700,90800,85700,86400,189235
20080204,87200,91200,86400,89700,203159
20080205,90100,90900,88000,88900,178631
20080211,87000,88500,85800,87600,178403
20080212,87700,89900,87200,89900,161751
20080213,90000,91600,87300,88300,140837
20080214,89600,90000,87300,89100,191334
20080215,87500,89500,85300,88900,160957
20080218,89100,90900,88400,90000,83417
20080219,91000,91400,89200,91000,100973
20080220,90200,90200,86900,87200,207452
20080221,87300,88200,87000,87300,95530
20080222,87400,87400,84200,85000,99944
20080225,84400,85600,83200,83500,151710
20080226,83800,84300,80500,81600,246551
20080227,82000,87800,82000,86800,430693
20080228,87500,89400,86400,88800,195904
20080229,89000,90200,87500,89500,134796
20080303,86900,89500,86200,89000,144431
20080304,88900,89800,87500,88800,77326
20080305,89500,90000,87200,89500,66846
20080306,88200,89800,88200,89000,129080
20080307,88900,90500,87000,90500,96847
20080310,90000,90800,88500,89200,140205
20080311,88100,90500,83900,89900,147619
20080312,90500,90500,86000,88300,211311
20080313,86400,87700,83300,85300,170869
20080314,84700,85600,81500,83400,109304
20080317,83000,83000,78600,81600,107073
20080318,81400,81400,79600,80400,87032
20080319,82500,82500,80300,81000,91333
20080320,80500,84000,80300,82800,119684
20080321,83200,87400,82800,87000,63384
20080324,87000,88900,86100,87600,94769
20080325,88000,90000,87100,88900,115685
20080326,88300,92800,88100,92800,115366
20080327,92800,92900,88200,92600,132652
20080328,90300,95700,90300,95000,145045
20080331,96400,97600,94000,95500,132031
20080401,94000,94800,91500,93700,118011
20080402,94000,95300,92200,95000,87290
20080403,93700,97300,93000,97000,90544
20080404,97600,98400,95500,97100,51852
20080407,98100,99200,97000,98000,138827
20080408,99200,99200,95200,96000,76951
20080410,94500,98600,94300,98600,105784
20080411,97600,100500,97600,100000,124476
20080414,98000,100000,96600,97900,43065
20080415,97600,99700,94800,99700,74597
20080416,100500,103000,99300,100000,88207
20080417,103000,106500,101000,105500,148000
20080418,106000,108000,103500,104500,334423
20080421,104500,104500,102000,104000,242933
20080422,102500,107500,100500,104500,145196
20080423,102500,103500,101000,102000,101168
20080424,100500,101500,98600,101500,126398
20080425,100500,108500,100500,104500,84897
20080428,105000,107500,104000,106500,87987
20080429,108000,108000,104500,106000,44935
20080430,106000,107500,104500,106000,68797
20080502,105500,106500,99800,103000,206704
20080506,101000,101500,99100,100000,140845
20080507,99700,100500,99200,100000,74764
20080508,99700,101500,98100,98100,107616
20080509,98800,101000,93500,94400,228984
20080513,93600,95600,92700,94200,93400
20080514,94200,95200,92200,94500,115194
20080515,94600,101500,93000,98000,209354
20080516,99100,100500,97300,99000,74072
20080519,98200,102000,98200,100500,35756
20080520,100000,101000,99700,99800,95901
20080521,100500,100500,98400,99200,49562
20080522,97000,97800,95500,96000,61221
20080523,95500,99400,94300,99000,52274
20080526,98900,98900,94900,97400,102904
20080527,96200,97700,94700,97700,126928
20080528,97000,98300,95500,97400,98492
20080529,98600,101500,97900,100000,104894
20080530,102500,103000,99500,103000,116662
20080602,101500,103000,99700,102000,70478
20080603,102000,102000,100000,101000,21412
20080604,101000,101000,98300,98600,64346
20080605,98000,99000,97000,98600,56187
20080609,98600,100000,97000,99700,90774
20080610,99300,99500,95200,99000,63923
20080611,98500,98500,95000,95000,100571
20080612,92900,93000,89900,89900,128219
20080613,91000,91800,90000,91800,101872
20080616,91200,91700,88800,89000,114448
20080617,89000,90300,88500,89200,78737
20080618,89000,90700,87800,89600,127438
20080619,89500,93800,88600,90400,141778
20080620,91400,93000,90400,92400,62431
20080623,92400,93500,90700,91400,59743
20080624,91500,91800,89900,91700,48734
20080625,90500,92000,90300,91100,68871
20080626,90800,91100,88100,88700,125920
20080627,86500,87000,83900,86500,164548
20080630,84900,86000,84100,84700,121261
20080701,84700,88000,84200,84800,167775
20080702,86700,87800,84000,85600,178287
20080703,86000,90000,84100,87000,175588
20080704,89600,90500,86200,89000,146875
20080707,89000,89900,86400,87300,95511
20080708,87300,87300,82600,84900,114693
20080709,84900,88000,80100,80100,118131
20080710,80100,80300,75900,77100,194305
20080711,78100,85100,77500,81200,212400
20080714,81200,81400,78900,80900,82188
20080715,80800,82200,77100,78100,133490
20080716,78000,79000,76500,77500,83901
20080717,79000,83100,78200,78800,146495
20080718,80800,83000,80100,82000,172877
20080721,82200,84400,82200,82500,105320
20080722,83200,85200,82000,85200,160193
20080723,85200,86700,85000,85700,70283
20080724,86800,90600,86300,89000,172758
20080725,86000,89600,86000,87800,98896
20080728,88000,88900,87000,87700,68173
20080729,86500,86900,83700,85000,190122
20080730,88500,88600,85000,87400,94748
20080731,87900,89300,87900,88300,49960
20080801,87100,89500,85500,88000,71805
20080804,88000,88900,84100,86200,135007
20080805,84200,87800,84200,85500,117188
20080806,87000,88500,86500,87000,40026
20080807,88100,88300,85900,88300,43251
20080808,87200,88200,86600,87800,37937
20080811,88300,90800,87800,89000,48291
20080812,91100,91100,89000,90000,46435
20080813,88900,89000,87000,87800,71519
20080814,87000,88500,86000,88000,40029
20080818,88000,92200,87500,91200,65756
20080819,91100,91200,89200,90000,73650
20080820,90000,92100,89300,90700,73943
20080821,90700,90800,88600,88800,44878
20080822,86900,88900,85500,88000,50354
20080825,88500,90500,88100,90000,59054
20080826,89900,90500,87000,89000,106075
20080827,88300,90200,88300,88600,66869
20080828,90200,90200,88000,88800,47904
20080829,89500,92300,88900,89300,121415
20080901,90200,92400,89300,91500,176995
20080902,91500,92500,88000,91200,247458
20080903,92700,92700,85500,85500,231701
20080904,84600,89700,83300,89100,178008
20080905,86100,88600,86100,87300,119222
20080908,87500,88400,86300,87800,189016
20080909,88000,90300,87800,89900,260823
20080910,89300,91800,89300,91500,188228
20080911,92000,92500,87400,92000,204733
20080912,91400,92600,88400,90000,181088
