날짜,시가,고가,저가,현재가,거래량
20080102,241171,242309,233483,233483,33555
20080103,233483,242025,227788,231490,26252
20080104,225795,236330,225795,228642,50055
20080107,216114,232913,216114,228357,37031
20080108,228927,231205,224656,228073,28509
20080109,223232,231774,219815,231774,31459
20080110,231205,233767,220670,220670,39839
20080111,224656,225795,210704,210989,56104
20080114,210704,218107,206433,209280,50254
20080115,208711,212697,201308,204440,37160
20080116,203016,211843,199315,206718,37287
20080117,212412,212412,204440,204440,41845
20080118,206148,208995,199030,205294,35470
20080121,207572,207857,197891,199599,37878
20080122,194474,194474,180807,180807,63719
20080123,186786,188210,178244,186786,54103
20080124,187925,201023,187925,190488,46595
20080125,194189,203870,193905,203016,36955
20080128,197321,201877,194474,200453,27981
20080129,204440,205009,197037,199315,37976
20080130,200453,204155,189634,196467,384709
20080131,197037,204440,193050,197606,45487
20080201,200453,203586,195328,195328,44679
20080204,196182,210704,196182,204440,38811
20080205,205009,216399,205009,214121,28839
20080211,209565,211558,201592,208995,29387
20080212,208711,211843,204440,207287,29295
20080213,210704,215544,207572,211273,31043
20080214,213551,232344,213551,227788,66804
20080215,224371,226649,221239,223517,31707
20080218,227503,234622,222663,224371,35650
20080219,234622,235191,230920,230920,31181
20080220,227219,229496,222378,226080,30045
20080221,226649,234337,222948,227788,31704
20080222,227788,230066,220670,227219,31344
20080225,229496,241740,227788,229212,47468
20080226,232344,233483,224371,230351,30317
20080227,230351,235761,229496,229496,27217
20080228,227788,234906,224941,229496,25057
20080229,225510,227788,222378,227788,40107
20080303,222093,222663,218107,218676,34408
20080304,222378,224371,217253,217253,22877
20080305,221524,232628,221239,226649,65934
20080306,230635,235476,225510,235191,42156
20080307,229781,232628,227503,231774,37107
20080310,225795,232913,225795,225795,32627
20080311,228927,240316,226080,231205,36383
20080312,235191,237469,232344,233483,51021
20080313,234906,239177,223802,223802,64325
20080314,230635,233483,222093,229496,46361
20080317,229496,233483,221524,226934,47788
20080318,231774,232059,224656,232059,21651
20080319,235761,237469,232344,232628,30705
20080320,232628,235476,228927,232344,27473
20080321,234906,236615,232344,233767,18560
20080324,234622,245157,234052,240886,51250
20080325,242879,252845,240886,249713,77863
20080326,250282,251706,246581,249143,28590
20080327,245157,247150,240601,244872,53810
20080328,242025,256831,240316,250567,42938
20080331,255123,256262,249428,256262,37385
20080401,251706,258255,249997,256546,40539
20080402,257970,261956,255977,255977,29360
20080403,257400,259678,254553,257970,38045
20080404,257685,260817,254268,257970,22608
20080407,259109,267651,256831,264234,37233
20080408,261102,263949,254838,257970,28285
20080410,253699,257400,249713,257400,45998
20080411,257400,260817,252560,256262,25430
20080414,250567,253414,246296,251421,23870
20080415,251136,251136,246865,248858,20162
20080416,250567,259678,249713,251706,28513
20080417,252275,257685,251136,254553,21034
20080418,255977,258539,252275,252275,28922
20080421,253414,258255,253414,257116,36850
20080422,260533,260533,256262,256262,25963
20080423,258539,262810,254553,260817,33871
20080424,260817,261956,256546,260533,34180
20080425,259109,264519,259109,261387,28056
20080428,261956,262526,251136,255977,35252
20080429,253414,254268,246581,247435,33738
20080430,246581,254838,246581,249997,24351
20080502,251706,255123,249713,252845,20774
20080506,252845,252845,247435,252845,28814
20080507,249428,255407,242879,247719,48415
20080508,243448,251706,243448,244872,38357
20080509,245442,247150,236615,241455,44019
20080513,239177,249143,234337,242879,36951
20080514,242879,249713,242594,249428,42550
20080515,245726,261671,245726,252845,73085
20080516,255407,259678,255123,258824,36044
20080519,261956,266227,259109,265658,46870
20080520,262810,264804,255977,264804,25765
20080521,261387,261671,253984,255407,24417
20080522,253984,253984,243448,247719,59258
20080523,244872,249997,238608,244303,43300
20080526,243448,246581,230920,231774,47817
20080527,230920,232913,224656,230635,62472
20080528,233483,234622,225225,226934,38334
20080529,228073,234052,224941,227219,37451
20080530,228073,229496,209565,209565,261931
20080602,214121,224656,212412,224371,152208
20080603,225510,230066,220954,225795,76148
20080604,225510,229496,222093,228357,36611
20080605,226649,226649,221809,223517,50308
20080609,206433,222093,206433,222093,34108
20080610,222093,222093,212128,216683,41919
20080611,214690,219246,209850,214405,29742
20080612,210134,213267,205009,205009,58363
20080613,207287,209280,202447,209280,52006
20080616,207857,211843,206718,208141,36547
20080617,209850,216399,208141,213551,28443
20080618,218107,224371,216399,222093,47805
20080619,222093,222093,213551,219531,25635
20080620,219531,224941,216399,220385,41016
20080623,220100,226080,214121,220385,36168
20080624,221239,224086,218676,222663,30735
20080625,224656,228642,223517,223517,34821
20080626,223517,226934,219815,226934,32349
20080627,220385,227503,219246,223802,33111
20080630,226364,227788,222378,223517,26257
20080701,224371,228073,223517,226080,30562
20080702,228357,228927,221239,225510,43252
20080703,226649,228642,223517,225225,52722
20080704,224656,227788,220385,226649,23844
20080707,227503,235191,225510,230066,45327
20080708,231774,231774,218676,229496,39955
20080709,231205,231205,222663,222663,31857
20080710,219246,225225,217538,217538,65438
20080711,218392,222093,210134,222093,51981
20080714,213551,214690,209565,214690,50142
20080715,214690,216968,210704,212697,34651
20080716,216683,227219,212697,222093,52986
20080717,224941,227219,219531,221809,25367
20080718,221809,224656,216399,221524,19108
20080721,224941,235191,224941,231774,59076
20080722,236900,237469,228073,234052,20399
20080723,239747,240886,234337,239177,25672
20080724,239177,247719,239177,241740,36527
20080725,239177,244872,238608,239177,27872
20080728,244303,245726,239747,240886,29694
20080729,242594,242594,228927,242025,47673
20080730,242025,242025,235191,235191,23712
20080731,237754,242879,231205,239177,24751
20080801,238608,238608,230066,234337,14667
20080804,230351,235191,222093,230066,30308
20080805,230351,236615,229496,229496,33003
20080806,231205,234337,227788,231774,20565
20080807,231774,232344,222093,226364,32006
20080808,224086,224941,218107,218961,46935
20080811,221239,222093,219531,220954,22148
20080812,219815,224371,218107,219815,26141
20080813,221809,223232,215544,219531,24191
20080814,214975,220670,214975,218392,33374
20080818,218961,220954,212697,215829,26863
20080819,216399,216683,211558,216399,17640
20080820,216399,224656,214975,218676,32662
20080821,217822,218107,211843,216968,29376
20080822,213267,220670,212412,214405,20506
20080825,215544,222093,214690,216399,25859
20080826,215544,225510,214690,224656,32861
20080827,224941,230351,222663,224371,34193
20080828,229496,229496,216968,224371,30099
20080829,225510,230351,221239,221239,30186
20080901,221524,227788,219815,220954,39835
20080902,219531,230635,219531,230635,58114
20080903,227788,232913,222663,224086,34753
20080904,228927,228927,218392,222093,38149
20080905,219246,223232,211843,216399,42654
20080908,216399,218961,214121,214690,49800
20080909,213551,214690,202731,208141,52007
20080910,206718,216399,202731,210704,56227
20080911,210704,211273,200169,200169,106248
20080912,203016,211843,203016,211843,40410
20080916,211843,212412,204155,208711,56031
20080917,212128,214690,209565,209565,26938
20080918,207857,213836,204724,211558,46684
20080919,215260,226649,212412,222093,90606
20080922,226934,228927,220954,224656,28676
20080923,221524,228642,220100,224086,31198
20080924,227219,233483,224086,230066,46297
20080925,232059,232059,221524,231774,54259
20080926,227788,232344,224941,230351,27450
20080929,226080,235476,219531,228642,53572
20080930,227503,227503,218392,218392,54602
20081001,218676,230351,213836,224086,47562
20081002,218676,231205,218676,229496,90258
20081006,224371,227219,217538,223517,30419
20081007,223802,231774,223232,223232,46449
20081008,219815,226649,218392,221809,37021
20081009,219815,230635,218676,224941,58073
20081010,216399,216399,191342,207857,67562
20081013,210704,226934,210134,218676,54147
20081014,227503,234337,222948,228927,35461
20081015,224656,235191,222663,233483,37899
20081016,226364,228357,216968,225510,48541
20081017,224086,227788,210134,227788,66909
20081020,229496,231205,216399,220385,54319
20081021,223232,223517,210134,221524,58669
20081022,221524,227503,208995,220670,45692
20081023,211273,216968,202162,210134,54687
20081024,212697,212697,189634,193620,51201
20081027,193620,205009,164577,205009,83704
20081028,188495,205863,174258,183654,108361
20081029,189349,192481,156320,174258,155869
20081030,178244,197321,174258,183369,116503
20081031,179383,200738,170841,193620,128904
20081103,193620,211273,192481,195898,62011
20081104,196752,223802,196752,219246,71347
20081105,220385,227788,213551,216968,75740
20081106,199315,215260,199315,206718,82455
20081107,199315,215260,193905,203016,93555
20081110,207857,214690,202447,208141,64737
20081111,209565,220670,206148,212412,50060
20081112,216114,227788,210989,214121,69690
20081113,196467,205579,196467,205579,96960
20081114,211558,213551,199315,199315,91662
20081117,197321,209280,185362,200169,65726
20081118,199315,206433,190772,200738,60130
20081119,199599,203016,192196,203016,49026
20081120,202162,202162,190203,202162,45747
20081121,200169,205579,196182,197891,44783
20081124,197037,199030,182515,199030,64335
20081125,199030,204724,195613,198460,59275
20081126,197037,203301,195898,195898,53694
20081127,198745,198745,195328,197037,51202
20081128,194759,198460,194759,197606,55215
20081201,194189,198176,189349,197891,46451
20081202,197037,197037,186786,186786,45163
20081203,187071,188495,176536,188495,81484
20081204,187925,190488,182800,187071,38779
20081205,187640,193050,186786,188210,46625
20081208,187356,201877,182515,196182,90408
20081209,199315,199315,190772,195043,65800
20081210,196467,202731,195043,197037,72112
20081211,193620,196467,190203,193620,131484
20081212,191057,194759,187640,193335,68893
20081215,196752,200453,195328,195328,58553
20081216,192196,196467,189634,193335,46418
20081217,195043,197037,191057,193620,46100
20081218,192481,196752,192481,193620,60379
20081219,194759,196752,193620,193620,43752
20081222,193620,198176,192196,194189,40578
20081223,194189,195613,191057,193905,40133
20081224,195043,198176,192196,197037,44379
20081226,198745,198745,193050,198745,33378
20081229,197321,202731,195043,199599,33567
20081230,202162,216399,199599,211273,59238
20090102,207857,215829,206718,208426,36152
20090105,206148,207287,194759,194759,58777
20090106,197891,206148,196467,199315,56698
20090107,199315,201308,195043,201023,47129
20090108,202162,202731,194474,197606,56129
20090109,197606,200453,192481,197606,44967
20090112,198176,198176,187925,188210,40586
20090113,187071,188495,183369,185078,35518
20090114,187071,187356,179953,184508,35925
20090115,179953,180522,170841,171695,60875
20090116,170556,181661,169133,180522,42496
20090119,178814,183085,177390,177390,31650
20090120,173688,176251,167994,171410,38880
20090121,167709,170556,164007,169702,31114
20090122,171410,173973,164862,167994,44460
20090123,167709,170272,163723,167994,33735
20090128,171410,178814,170841,176536,30342
20090129,174827,180807,173973,178814,34597
20090130,176251,179383,173973,177105,29685
20090202,173688,175681,168848,173119,45142
20090203,171126,177105,169417,171410,50493
20090204,171980,179383,171126,176536,45743
20090205,189634,191627,182800,182800,76325
20090206,187071,189064,183939,184224,861959
20090209,187925,187925,183085,183085,32821
20090210,185932,190772,185078,186786,36228
20090211,185932,189064,180807,184224,32960
20090212,181091,185078,172834,178814,87603
20090213,178244,179953,173688,176536,36535
20090216,174543,179098,173973,178244,28391
20090217,177105,177105,168278,172265,58181
20090218,169702,169702,165716,166001,50465
20090219,166001,166001,157458,157458,70058
20090220,154611,157174,145215,146069,51113
20090223,146923,149771,140659,149771,44385
20090224,144076,144076,136673,137812,61692
20090225,143222,144645,135819,139805,49280
20090226,140090,151194,130124,133825,60210
20090227,132402,138951,132402,132687,49565
20090302,132687,132687,119304,124714,73675
20090303,119873,131263,119589,129839,63321
20090304,127561,137527,123575,137527,59952
20090305,137527,137527,128131,130693,75354
20090306,127561,131263,124714,128700,44785
20090309,133256,135534,129839,134964,43951
20090310,131832,140659,131548,136673,44440
20090311,140659,145215,139235,143222,49794
20090312,146069,149486,141513,148062,115867
20090313,146923,151764,144645,149771,45559
20090316,146069,148632,141798,141798,36941
20090317,144645,149486,140659,149201,43581
20090318,152618,153757,147493,152903,36498
20090319,154042,158597,150910,158313,37819
20090320,158313,163438,157174,160591,30754
20090323,165146,168563,161445,162299,23864
20090324,163153,164292,156035,159167,47361
20090325,161160,162014,159167,159167,22123
20090326,156604,163438,155465,160875,35081
20090327,163438,163438,156604,157174,29946
20090330,158882,161729,150910,157458,32515
