날짜,시가,고가,저가,현재가,거래량
20080102,100960,101340,97544,100201,12593
20080103,98683,99442,94508,94508,17238
20080104,94888,98683,92990,98683,15961
20080107,98303,99063,94128,97924,13620
20080108,99822,99822,95267,95267,8168
20080109,95267,95267,92231,94128,8199
20080110,94128,94888,89574,90712,33409
20080111,89953,91092,83881,85778,13463
20080114,86537,89953,83881,84260,15426
20080115,86537,86537,78187,83881,26556
20080116,81983,83121,76669,76669,26416
20080117,79326,80085,75303,76290,18009
20080118,75910,80465,74620,78187,18577
20080121,77049,79706,72874,72874,32047
20080122,71963,71963,68319,69078,30802
20080123,73557,73557,69154,71355,12437
20080124,71355,79326,71355,78187,18681
20080125,79326,84260,76669,83501,14309
20080128,83501,83501,78946,80465,7079
20080129,80465,83501,79706,83501,9457
20080130,82362,85778,77428,79706,8811
20080131,81224,85399,77808,85399,26235
20080201,88056,88056,81224,81224,10330
20080204,81603,85019,81603,81603,8975
20080205,81603,85399,81603,81603,7722
20080211,77808,79706,76290,76290,11633
20080212,77428,78187,75682,75910,11218
20080213,76669,77428,74088,74392,9120
20080214,75227,78946,75227,78567,23177
20080215,77428,80844,75834,80844,21525
20080218,80465,82362,78187,80844,18881
20080219,82742,83121,79326,80465,17163
20080220,78946,80465,76669,77049,14597
20080221,76669,80465,76669,79706,9469
20080222,79706,79706,75834,76669,14115
20080225,78187,79326,76669,76669,9285
20080226,77808,78946,75227,76669,16285
20080227,77428,78187,75910,75910,7778
20080228,75910,76669,75606,75606,11176
20080229,75910,77808,75758,76290,41464
20080303,74544,75530,73025,74012,12012
20080304,73785,74923,73785,74468,6840
20080305,75151,75303,73329,73329,3019
20080306,73329,77049,73329,74620,21565
20080307,73253,74012,72418,73557,13398
20080310,73481,74392,72342,73025,9760
20080311,73481,73557,71507,72266,16984
20080312,73709,74847,61867,73633,14349
20080313,72874,74695,68471,69685,15830
20080314,70596,72039,66042,67332,14006
20080317,68243,68319,64524,65055,15855
20080318,65055,66801,63992,66042,15492
20080319,66801,66801,62929,62929,45314
20080320,62929,62929,58830,59969,51351
20080321,61108,61487,60121,61411,21753
20080324,61639,63157,60880,61183,31782
20080325,62246,62929,61259,62246,36885
20080326,62398,64448,62398,63764,26755
20080327,63688,63764,62246,62398,23041
20080328,63309,63309,61791,61867,18166
20080331,61867,61867,60348,60728,24593
20080401,60728,62094,60500,60652,27084
20080402,61411,63764,60500,61867,43730
20080403,63005,64903,62398,62778,45671
20080404,63916,69837,63233,68699,88266
20080407,69002,69458,67104,68699,38157
20080408,69002,69002,66497,68167,25401
20080410,68167,68699,66801,68167,30558
20080411,69078,69609,67636,68547,24963
