날짜,시가,고가,저가,현재가,거래량
20190328,75500,94400,73100,88700,4171304
20190329,92500,94500,80300,82100,1131418
20190401,81800,83600,79100,79600,365847
20190402,80200,82400,78700,81100,247372
20190403,81600,82900,79000,79600,199453
20190404,79600,80000,78000,78000,111902
20190405,78400,78500,74200,75200,206446
20190408,75100,77200,73100,76700,153072
20190409,77200,80800,75000,80300,241415
20190410,80300,87500,79100,84100,398111
20190411,84400,89900,83000,89100,290864
20190412,88600,91200,86500,87300,143161
20190415,87900,88400,85000,86300,113001
20190416,86500,89400,82800,88500,156540
20190417,90000,91100,87600,88000,90505
20190418,87300,88300,83600,83700,93744
20190419,83400,85500,83100,84300,27684
20190422,84000,84700,81300,81500,67344
20190423,80500,82000,79900,81600,46667
20190424,82000,82300,79500,80600,54016
20190425,80600,80900,79200,79200,35872
20190426,78800,79600,77900,78400,25472
20190429,76000,79500,75900,79100,128295
20190430,78800,80300,77400,77900,53683
20190502,77600,77800,76700,77100,39085
20190503,77100,77700,76300,76300,25599
20190507,75500,75900,73300,73300,82181
20190508,73100,77200,72400,77000,83513
20190509,76800,77600,74300,75100,38595
20190510,74900,75900,72700,73200,39704
20190513,72100,72600,67500,67900,99364
20190514,65700,67400,62800,63300,173465
20190515,64200,66100,60300,65100,115687
20190516,65700,67600,65100,66100,50942
20190517,65200,67700,63300,63500,29709
20190520,62300,64000,61000,61200,34129
20190521,60500,62300,60200,61300,46126
20190522,61300,63200,60400,62100,35459
20190523,61500,62900,60800,62700,30430
20190524,62500,62500,60300,60300,44144
20190527,59000,60000,56800,57400,67040
20190528,57900,61100,57100,61000,41565
20190529,60900,60900,59400,59600,17037
20190530,60000,63400,59300,63200,52816
20190531,63200,65700,62200,63900,55729
20190603,63100,64400,62100,62900,15485
20190604,62900,64000,60800,61200,25289
20190605,63000,63000,60300,61200,11653
20190607,61800,62300,60700,61600,13197
20190610,61600,66000,60800,65300,47809
20190611,66000,70000,65200,69000,103764
20190612,69000,70400,67100,69500,44823
20190613,69500,70500,68700,69400,17788
20190614,70300,70900,68000,68500,20193
20190617,68500,69500,65400,67000,26530
20190618,66300,69500,66000,68000,26611
20190619,68300,68300,63100,65600,66803
20190620,65300,66400,64800,66000,23892
20190621,66600,66600,64100,64100,20172
20190624,63800,64500,62000,62200,22291
20190625,61500,62500,60400,60800,34227
20190626,60800,61800,60100,60800,18212
20190627,61000,64300,60900,63000,36594
20190628,58800,62800,58000,61100,269756
20190701,61200,61500,58700,59200,82759
20190702,59200,59200,57500,57600,60234
20190703,58200,58500,56600,56700,44188
20190704,56200,57700,55400,56300,40557
20190705,56500,56800,54800,55600,51076
20190708,55600,55700,51100,51200,109598
20190709,50800,54600,50800,53300,84566
20190710,53300,55600,52800,53100,43812
20190711,52700,55000,52700,53200,41173
20190712,52900,53500,52400,52400,24627
20190715,52600,53500,51900,52300,19253
20190716,52100,52700,51000,51200,45483
20190717,51100,52000,51000,51500,23198
20190718,51500,51900,50800,51200,20087
20190719,51000,54400,51000,53400,49236
20190722,54000,55700,53500,54800,47062
20190723,55000,55400,53800,54100,23645
20190724,53900,54700,53200,53200,21882
20190725,52900,54200,52200,53500,19185
20190726,52500,54300,52500,53900,19863
20190729,53500,53500,51000,51700,25489
20190730,51700,52300,51400,52000,14368
20190731,51500,51900,50200,51500,19936
20190801,51400,53500,51400,52100,20616
20190802,51200,52900,50700,52000,19554
20190805,51200,52200,48800,48850,51705
20190806,47250,48450,46500,47000,36884
20190807,46500,54500,46500,52500,117671
20190808,52900,54700,52900,53900,50875
20190809,54000,54600,52300,52700,32422
20190812,52800,54100,52200,53900,21974
20190813,53300,53700,52700,53200,16108
20190814,53700,54000,52600,53400,12006
20190816,52200,53700,52200,53500,13088
20190819,54200,56000,53700,55700,45924
