날짜,시가,고가,저가,현재가,거래량
20080102,79700,82600,78600,80700,904666
20080103,80700,84100,79100,83800,1042778
20080104,84400,85000,82200,84800,941202
20080107,82500,84400,82100,82200,619400
20080108,82900,83000,79300,79900,552821
20080109,78300,81800,76700,81800,595381
20080110,82500,83100,81900,82300,520804
20080111,82500,84300,79200,79800,998203
20080114,80300,81200,77500,78500,596785
20080115,76300,76500,67900,71000,3121512
20080116,68000,71400,67500,68300,1049351
20080117,69400,70400,68500,69100,625684
20080118,67800,68800,66400,68000,768611
20080121,68700,70500,66000,67500,902617
20080122,65800,66200,62000,63100,1013981
20080123,65000,66900,64700,66300,787907
20080124,68500,69000,67300,67900,557710
20080125,69500,72900,69100,72300,905692
20080128,70500,71500,67200,68500,541748
20080129,70800,70900,67900,68500,448498
20080130,69500,69800,63600,65300,563887
20080131,63500,64900,62000,64100,967457
20080201,65500,66400,64100,65000,482088
20080204,66000,71800,66000,70300,837707
20080205,69500,71600,68500,70000,400903
20080211,67500,68300,66500,66900,537995
20080212,68100,69000,67500,67500,388106
20080213,68900,70000,67800,67800,414893
20080214,68800,70000,67800,70000,677015
20080215,69000,71400,68200,70400,606565
20080218,70500,71000,69500,70200,440645
20080219,71000,71500,70300,71200,397635
20080220,71000,72700,69800,70800,569004
20080221,71400,74000,71200,72400,675228
20080222,71900,73800,70700,71900,389188
20080225,72900,74500,72700,73700,501623
20080226,74500,76800,74300,76200,877774
20080227,78000,78100,75000,75400,668090
20080228,75500,76500,74100,76300,418955
20080229,75400,75600,74000,74300,404839
20080303,71300,73200,71300,72700,347472
20080304,73400,74700,73000,73700,286077
20080305,74600,74700,73000,74100,267363
20080306,74800,76600,74100,76500,532383
20080307,75000,75800,74000,74800,449874
20080310,73000,73500,71400,71700,475259
20080311,69300,70900,68700,69600,882612
20080312,72000,72000,70000,70900,555770
20080313,69700,70800,67500,69900,707836
20080314,69900,70300,66000,66600,622800
20080317,65400,65600,61900,65300,779092
20080318,65300,67500,65300,67500,551535
20080319,69800,70000,68600,70000,496536
20080320,68000,69100,66300,67300,569888
20080321,68400,68500,66400,67500,566258
20080324,68000,68900,67800,68300,303945
20080325,69100,70400,68900,69000,520234
20080326,69500,69600,68000,69000,353327
20080327,68700,69200,67700,68100,309154
20080328,67400,69000,67400,68900,328591
20080331,69300,70300,69100,69300,695058
20080401,69800,70400,67800,69400,437453
20080402,70800,71800,67800,69500,701208
20080403,69100,71300,68600,71200,844139
20080404,72700,73400,71700,72500,1004504
20080407,73700,74900,73000,73700,737340
20080408,73200,73900,72500,73500,515251
20080410,73000,75100,72500,75000,724371
20080411,75000,75700,73900,74700,450188
20080414,73500,73600,70600,71200,714671
20080415,71100,72100,70200,71600,362385
20080416,71900,73400,71800,72500,396935
20080417,73300,74600,72900,74000,608634
20080418,73800,76800,73100,75400,854427
20080421,76500,77400,76300,76800,641295
20080422,76200,76500,74600,75800,500854
20080423,74900,79000,74900,78000,1060485
20080424,78300,78300,76500,78000,458063
20080425,78100,78400,76800,77100,470253
20080428,78100,79300,75200,75800,563680
20080429,76500,78000,76000,77100,636452
20080430,77300,79200,76000,78900,900113
20080502,79500,79700,78300,79000,614766
20080506,79000,83100,78600,83000,1191200
20080507,83600,84300,81400,82400,1081965
20080508,81500,84000,80500,83000,824874
20080509,83800,84600,81400,81400,529717
20080513,82000,84200,80200,84000,607784
20080514,84200,85600,84000,85400,500027
20080515,86000,89800,85900,89000,1215923
20080516,90200,91200,88100,89300,938779
20080519,89500,89500,87100,89000,654515
20080520,88000,88900,85300,87200,996485
20080521,85800,86400,83100,83600,738486
20080522,82700,83600,81200,83000,944103
20080523,83800,86600,83300,85900,836896
20080526,85100,86400,83300,85000,512960
20080527,85000,85800,83200,85800,656122
20080528,85800,86300,81200,81200,686809
20080529,81800,83800,80000,81500,645540
20080530,82600,82700,80800,82700,652182
20080602,82700,83000,81500,82200,534196
20080603,81500,83400,81500,81500,395245
20080604,82000,85200,82000,84100,758082
20080605,84500,84600,83100,83500,392958
20080609,81000,83000,80900,82500,463919
20080610,82100,84400,82100,83500,585938
20080611,83800,83800,80100,82500,784468
20080612,80700,81200,78400,78400,892395
20080613,79500,79600,77300,78500,425308
