날짜,시가,고가,저가,현재가,거래량
20080102,71400,71600,68500,68500,2284789
20080103,68000,71200,67500,71000,1651710
20080104,71300,71300,69600,70400,1096641
20080107,67800,69400,67600,68500,1560047
20080108,69300,70300,68800,69100,1187210
20080109,68000,68800,66800,68800,1429774
20080110,69200,69600,67500,67600,973198
20080111,68900,69400,66100,66100,1809026
20080114,66100,67000,64400,67000,1894846
20080115,66100,66800,63000,63000,3024901
20080116,62300,64300,61900,62300,1769147
20080117,63300,64900,62900,64400,1563838
20080118,63500,66200,62700,65800,1751443
20080121,65800,68000,64500,67400,2641503
20080122,65100,68400,64900,67200,2930637
20080123,69300,70800,68100,69000,2876172
20080124,69900,71900,69300,70800,2951708
20080125,72000,74000,71500,72000,3212450
20080128,71000,71800,69300,69500,2029454
20080129,71400,73000,70300,73000,3176929
20080130,72900,74600,71600,72800,3098651
20080131,72900,73800,71900,73400,1744186
20080201,74200,74300,70500,71200,2368719
20080204,72000,72200,70600,71300,2352941
20080205,71400,72000,70800,71100,1184161
20080211,69500,69900,68300,68400,2155012
20080212,68800,69200,67700,69000,1437598
20080213,69000,69300,67000,67500,2044812
20080214,68300,69500,68200,69500,1207176
20080215,68500,69200,67900,69100,1140800
20080218,69300,69500,68200,68800,909628
20080219,69000,69200,68200,68900,1011049
20080220,67500,68100,66500,67200,1951383
20080221,67500,67700,66500,67100,939317
20080222,66400,66500,65100,66300,1739015
20080225,66800,66900,65800,66400,1331773
20080226,66900,67000,65500,66100,1442289
20080227,66300,67900,66100,67600,1675520
20080228,68100,68700,67600,68400,1109967
20080229,67700,68300,66800,66800,1128677
20080303,65400,67200,65000,66700,1427504
20080304,67100,67300,65800,66100,1090337
20080305,66100,66200,65100,65900,1163390
20080306,65800,66300,65100,65800,1120761
20080307,65100,65400,64100,64500,1906127
20080310,63900,65400,63800,64100,1390731
20080311,63700,68500,63700,67800,3715062
20080312,69800,69900,67800,67800,2071900
20080313,67800,68200,65900,66600,1925524
20080314,66700,69600,66700,69300,3476900
20080317,69900,70700,69100,70500,3094503
20080318,70500,71000,69100,70300,2164615
20080319,71400,72300,70900,71800,2550245
20080320,71200,73800,71100,72700,2419918
20080321,73000,73300,71700,72500,1751804
20080324,72500,74100,71600,73400,1759435
20080325,74400,76600,74000,76000,4522744
20080326,76000,76600,74900,74900,1903796
20080327,74300,77300,74200,76900,1959627
20080328,76700,80000,76200,78500,2069891
20080331,78700,79800,77500,78900,1489564
20080401,78200,79800,77900,78500,1164289
20080402,80300,81100,79800,81100,2164539
20080403,80500,81800,79900,80600,2022833
20080404,80600,80600,77600,78200,2453086
20080407,77600,79400,77600,78000,1686510
20080408,77500,77900,76100,77000,1659608
20080410,76200,79100,76200,78600,1755736
20080411,79200,82400,79100,82300,3261862
20080414,80900,82400,80600,82000,1471957
20080415,81200,81300,79600,80500,1320856
20080416,80600,80600,79000,79500,1309496
20080417,80300,81600,79700,80700,898066
20080418,81300,82000,80900,81000,1353429
20080421,82200,85000,82100,84500,2458186
20080422,84000,86000,83100,84300,1953256
20080423,83400,85200,82600,83000,2426572
20080424,83400,83400,79500,79600,3277587
20080425,81100,83000,80800,83000,2224808
20080428,83600,84900,83100,83500,1572462
20080429,83600,85500,82400,83800,1477216
20080430,84000,84900,82800,84600,994312
20080502,85800,87000,85200,85900,2090643
20080506,85900,86800,84600,86100,1180014
20080507,86800,89800,86700,88500,2267788
20080508,87500,89100,87100,89100,1348131
20080509,89200,89300,86600,88000,1526404
20080513,87100,89000,86300,88200,1146620
20080514,88500,90000,87300,88600,1328211
20080515,88600,90400,88500,89600,1659467
20080516,90300,91400,88200,89000,1482330
20080519,88300,89700,87000,88200,1428434
20080520,89100,89500,86100,87100,1471334
20080521,85300,86100,84400,85900,1410618
20080522,84600,87200,83300,86200,1754520
20080523,86200,87300,85100,86000,874825
20080526,84800,84900,83300,84200,1253046
20080527,84000,84500,82600,83400,1544124
20080528,82700,83000,81300,81800,1598531
20080529,82200,84000,82000,83500,1307117
20080530,84500,84700,83400,84000,806609
20080602,83000,83800,82000,83400,1213470
20080603,82500,82700,79300,79300,2370313
20080604,79400,80700,78600,80100,1671999
20080605,80800,81900,79700,80900,1221304
20080609,78500,81300,78400,80800,1574574
20080610,80500,80700,77900,78700,1365084
20080611,78500,80000,77900,79600,984134
20080612,79100,79300,77800,78500,1362031
20080613,77900,80600,77900,79600,998447
20080616,80700,82300,80500,81000,1165753
20080617,81500,82400,80400,81200,912231
20080618,81200,81400,79600,81200,798477
20080619,80200,80700,78900,79400,898745
20080620,80100,80300,77600,78200,920402
20080623,76900,77800,76100,76700,1294679
20080624,76100,78100,75600,76300,1145840
20080625,76000,76200,73900,76200,1558615
20080626,75700,77200,75400,76600,828255
20080627,74200,74500,72500,72500,1966760
20080630,72000,73000,70900,71000,1599581
20080701,71200,73900,70700,73900,1432361
20080702,73200,74500,72500,73500,1365566
20080703,72000,72200,70200,70200,2829123
20080704,70600,72700,70400,71800,1588235
20080707,70800,72000,69500,71100,1474470
20080708,71100,71300,68800,69000,1103651
20080709,70600,71500,68200,68900,1590443
20080710,67200,68700,66400,67800,2249774
20080711,68000,71400,67900,71200,1676675
20080714,70900,71900,70000,70400,776793
20080715,69500,69800,67000,67400,1390922
20080716,67800,68500,66200,67400,1512455
20080717,69400,69600,68500,68500,1398337
20080718,69000,69400,67600,68200,1062869
20080721,69500,72100,69000,71000,2084372
20080722,71000,71700,70600,71500,830484
20080723,72900,73300,72100,72300,1218669
20080724,73500,75000,72300,73300,2523297
20080725,71300,72300,69700,71400,1866649
20080728,71700,71900,69600,70900,1054887
20080729,69100,69600,68000,69200,1157962
20080730,70700,71800,70400,70500,1162918
20080731,70600,72100,70300,71500,751803
20080801,70700,71000,69300,70700,788710
20080804,69700,70100,67700,69000,1456043
20080805,68500,70500,68400,69900,1374760
20080806,72200,72200,70800,71200,1370220
20080807,71200,71300,69600,70800,1401922
20080808,70000,71500,69300,71200,821536
20080811,72900,73500,72200,72900,2164811
20080812,74000,75200,73100,73300,1880073
20080813,73200,74000,72500,73000,1019848
20080814,71800,73200,71300,72600,1232363
20080818,73000,73100,71200,71900,1146009
20080819,71000,71500,69600,70400,1330333
20080820,69500,70600,69000,70300,1393534
20080821,70000,70300,69100,70000,997175
20080822,69000,71300,67900,69300,1166838
20080825,70100,72300,69900,71800,1650631
20080826,70700,73900,70600,72700,1771723
20080827,73300,73400,72100,72900,1137012
20080828,72400,72700,70500,70800,1318409
20080829,71500,72300,70800,71700,1137004
20080901,70000,71700,69300,70200,1240847
20080902,69300,72500,69300,70700,1361304
20080903,71600,73100,70400,71100,1981302
20080904,71300,72400,70400,71600,1195791
20080905,68200,72900,68000,71000,1777922
20080908,72500,74400,72200,73800,2064788
20080909,73800,74300,73200,73300,894052
20080910,72800,73600,70000,70500,3006088
20080911,70200,70500,69200,69300,2160005
20080912,69900,71100,69800,70700,1487054
20080916,63700,66600,63500,65700,3994712
20080917,67200,69600,66500,68300,2212942
20080918,66600,68300,65600,67000,1730070
20080919,69000,70800,68400,70000,2288968
20080922,70400,72900,70200,71700,1968455
20080923,71700,73500,70900,73500,1535772
20080924,73200,74300,72000,73800,1398793
20080925,72800,74100,72000,73900,1555011
20080926,73900,74000,72300,72800,842233
20080929,72900,73500,71800,72600,1009854
20080930,69200,73700,69100,73500,2160544
20081001,74200,75700,73500,73600,1790717
20081002,73500,74400,72700,72900,955483
20081006,71100,72100,69500,70400,1885967
20081007,70000,73200,68800,72100,1417428
