날짜,시가,고가,저가,현재가,거래량
20080102,34050,34200,32950,33150,58720
20080103,32300,33700,32300,33450,72950
20080104,33150,33300,32650,33000,26455
20080107,32000,32750,31800,32200,75740
20080108,31900,32200,31400,31500,125130
20080109,31400,31450,30650,30900,178375
20080110,31100,31300,30100,30100,196480
20080111,30550,30800,29750,29750,52015
20080114,29750,29800,29450,29700,74005
20080115,29800,29800,28850,28900,87631
20080116,28700,29100,28400,29100,66811
20080117,28800,29950,28600,29900,34020
20080118,29800,30400,29100,30350,42122
20080121,30000,30400,29450,30300,73271
20080122,29200,30050,29000,30000,126514
20080123,30250,30900,29550,30150,250395
20080124,30200,31250,29850,30800,245511
20080125,30750,32000,30750,31800,134140
20080128,31500,31500,30850,30900,65250
20080129,31400,31750,30800,31700,59936
20080130,31850,32050,30900,31400,57960
20080131,30700,31600,30700,31450,98361
20080201,31500,31650,30400,30750,79608
20080204,30800,31300,30600,30800,88853
20080205,30800,31000,30400,30450,66927
20080211,30000,30100,29000,29200,49940
20080212,29200,29500,29000,29300,58136
20080213,29300,29400,28600,28600,109271
20080214,28800,29250,28800,28800,83034
20080215,28700,28700,28200,28600,140998
20080218,28600,28850,28300,28450,48424
20080219,28450,28650,28150,28350,157270
20080220,28300,28300,27700,27900,145343
20080221,27900,28250,27750,28250,47200
20080222,27700,27850,27400,27650,111147
20080225,27850,27900,27450,27550,47660
20080226,27650,27800,26950,27000,131821
20080227,27050,27250,26850,27150,86100
20080228,27000,27600,27000,27600,96282
20080229,27500,27500,26950,27300,47902
20080303,26850,27100,26650,27050,48124
20080304,27050,27300,26700,26700,57497
20080305,26750,26750,26500,26650,81756
20080306,26900,26900,26100,26300,155246
20080307,26050,26100,25500,25600,137598
20080310,25200,25500,25100,25100,134350
20080311,25000,25800,24600,25400,668242
20080312,26350,26450,25500,25500,285752
20080313,25400,25400,24500,25000,210224
20080314,24900,25900,24900,25150,306855
20080317,25200,25500,24850,25100,381240
20080318,25400,25400,25000,25000,448834
20080319,25850,26350,25350,26300,615770
20080320,25900,26850,25850,26800,137422
20080321,27000,28050,26500,28050,324835
20080324,28000,28450,27700,28350,270455
20080325,28400,28900,28300,28650,383081
20080326,28650,28700,27800,28500,399753
20080327,28500,29350,28200,29350,267096
20080328,29400,30950,29300,30900,795220
20080331,31050,32650,31050,32650,1106775
20080401,32650,33500,32200,32850,629261
20080402,33850,34050,32800,33100,379744
20080403,32850,34100,32650,33450,567104
20080404,33150,33500,32600,33400,107813
20080407,33250,33750,32600,32700,150248
20080408,33000,33000,31400,31450,206268
20080410,31500,31900,31400,31800,248981
20080411,31800,33550,31700,32800,311897
20080414,32200,33300,32200,33100,270602
20080415,32700,33100,31800,32000,215341
20080416,32150,32900,31800,32900,157679
20080417,33300,34100,33200,33900,173748
20080418,33950,34350,33900,34200,141525
20080421,34550,36500,34550,36000,434588
20080422,36400,36400,35500,35800,253622
20080423,35500,36200,35400,35450,174610
20080424,35600,36000,33600,33850,153016
20080425,34200,35000,34150,34700,159616
20080428,34700,35900,34700,35200,116861
20080429,35450,36000,35300,35600,268200
20080430,35900,36250,35400,36050,173484
20080502,36600,37200,36400,37000,259042
20080506,37100,37750,36700,37700,354974
20080507,37950,39050,37800,39000,281920
20080508,38800,39050,38300,39050,119622
20080509,39100,39150,37300,37650,74131
20080513,37800,39000,37500,39000,190170
20080514,38550,39150,38150,39000,168901
20080515,38900,39950,38750,39700,269313
20080516,40050,40600,38850,39500,369207
20080519,39500,39800,37550,38650,168208
20080520,38650,38800,36600,37500,136488
20080521,36800,37200,36250,36800,249950
20080522,36200,36500,35100,36250,236082
20080523,36250,36400,35700,35700,160200
20080526,35000,35200,34000,34100,127327
20080527,34400,35450,33650,34800,173502
20080528,34800,34800,33950,34200,297683
20080529,34500,35750,34300,35500,318445
20080530,35300,36200,35300,36200,148310
20080602,35750,36350,35500,36200,120606
20080603,35800,35800,34100,34500,116601
20080604,34300,34650,33600,34500,114065
20080605,35000,35000,34250,35000,88170
20080609,34000,34500,33550,34300,137141
20080610,34050,34100,32200,32600,153247
20080611,33150,33200,32600,33150,68706
20080612,32300,32900,32300,32800,86261
20080613,32900,33400,32200,32850,33493
20080616,33200,33900,33050,33800,61086
20080617,33650,34400,33400,33950,40602
20080618,33500,33750,33100,33500,48771
20080619,32950,33000,32000,32000,53907
20080620,32350,32400,31400,31750,66242
20080623,31300,31300,30600,30850,83526
20080624,30650,31200,30500,30600,428285
20080625,30500,30500,29300,30200,164150
20080626,30350,30600,30000,30450,65801
20080627,29400,29650,29150,29500,76151
20080630,29100,29500,28100,28600,223421
20080701,28650,29500,28300,29500,74544
20080702,29500,29600,28100,28650,272551
20080703,28100,28150,27750,27800,66594
20080704,28000,28400,27800,28050,131584
20080707,27700,27950,26900,27700,112510
20080708,27300,27500,25900,26500,138410
20080709,26950,27400,26100,26500,172148
20080710,26350,26350,25200,25600,189541
20080711,25900,27250,25900,27000,240400
20080714,26600,27200,26600,26650,148818
20080715,26900,26900,25550,25550,126516
20080716,25700,26700,25550,26100,327775
20080717,27150,27200,26650,27050,323455
20080718,27650,27650,26800,27150,175272
20080721,27500,29200,27300,29000,472383
20080722,28600,29300,28200,29300,154366
20080723,29450,29550,29100,29500,164530
20080724,29500,30250,29150,29700,190902
20080725,29400,29400,28600,29200,197980
20080728,29450,29550,28600,28950,52470
20080729,28150,28150,27450,27700,80049
20080730,28200,28600,27600,28000,150318
20080731,28000,28600,27750,28300,96049
20080801,28000,28000,27450,27900,30260
20080804,27600,27750,26450,26550,80068
20080805,26400,27500,26400,27000,101037
20080806,27650,28200,27350,28200,106026
20080807,28200,28200,27150,27900,88584
20080808,27500,28100,27100,28100,85540
20080811,28700,28850,28450,28800,126201
20080812,28700,29500,28700,28950,138057
20080813,28800,29150,28650,28650,59923
20080814,28300,28700,28200,28700,146214
20080818,28400,29200,28400,28800,271406
20080819,28500,28800,27800,28400,117337
20080820,27900,28250,27550,28000,67316
20080821,27700,27800,27350,27700,82860
20080822,27100,27150,26050,26700,224725
20080825,27000,27300,26600,27150,416021
20080826,26600,27500,26500,27300,231883
20080827,27500,27500,26950,27400,132850
20080828,27500,27500,26400,26700,81496
20080829,27250,27250,26900,27000,79603
20080901,26300,26800,25600,26000,167305
20080902,25600,26250,25550,26150,141850
20080903,26400,27000,26250,26950,339675
20080904,26250,26650,26200,26500,376752
20080905,25700,26600,25550,26350,191225
20080908,26800,27250,26600,27150,204607
20080909,27100,27150,26450,27000,67850
20080910,26250,27050,25850,26450,228428
20080911,26150,26250,25800,25900,99242
20080912,26100,26400,25900,26200,146163
20080916,24450,24800,23350,24300,270061
20080917,24800,24900,24450,24900,454736
20080918,24000,24700,23600,23900,461039
20080919,24500,25050,24250,25000,359034
20080922,25100,25150,24450,25100,271854
20080923,24900,25400,24750,25250,207143
20080924,25200,26350,25150,25850,330510
20080925,25750,26450,25500,26450,140687
20080926,26350,26450,25700,26250,128263
20080929,26450,26500,25600,25700,107051
20080930,23900,25400,23850,25400,366857
20081001,25400,25800,25300,25400,181183
20081002,25250,25600,24150,24500,295823
20081006,23800,23850,22450,22950,308517
20081007,22400,24000,22050,24000,291393
20081008,23200,24200,22750,23200,495406
20081009,22800,23800,22300,23200,240044
20081010,22150,22850,21550,22000,248744
20081013,22000,22500,20600,21000,422286
20081014,21800,21800,21150,21800,369559
20081015,21350,21800,21100,21700,136628
20081016,20650,20750,18450,18450,520783
20081017,18900,19000,17400,18300,379229
20081020,18300,19600,17700,19000,285480
20081021,19000,19900,18350,19900,326264
20081022,19150,19200,16950,17500,543238
20081023,16750,17600,14900,17400,478751
20081024,17000,17200,14800,14800,301062
20081027,14300,15700,14000,15700,325057
20081028,14100,18050,14100,18050,275300
20081029,18700,19950,16650,18350,397223
20081030,19200,21000,18000,20000,465921
20081031,20150,20250,18850,19150,381481
20081103,19000,19200,18350,18400,245505
20081104,18400,18750,17900,18600,160881
20081105,19100,19300,18550,18800,377884
20081106,17900,18050,17000,17000,164511
20081107,16850,18450,16200,18400,140415
20081110,18000,18000,16450,17200,312635
20081111,16500,17200,16250,16700,192363
20081112,16200,16700,15450,16700,456085
20081113,15800,16500,15650,16500,180049
20081114,17000,17100,15700,15900,321234
20081117,15550,16150,15300,15900,329723
20081118,15400,16100,15350,15750,171129
20081119,16000,16000,15100,15600,123874
20081120,14900,15000,14300,14600,159718
20081121,14200,16650,13700,16650,326296
20081124,16150,16250,14200,14200,573606
20081125,14800,14950,12100,12600,1175124
20081126,13000,13700,12600,13700,407892
20081127,14050,14400,13850,14250,445317
20081128,14100,14450,13900,14250,375219
20081201,14300,14400,13750,13750,321235
20081202,12800,13300,12300,12900,162911
20081203,13250,13400,12450,13350,161331
20081204,13650,14000,13300,13500,548082
20081205,13500,13900,13350,13800,242501
20081208,14000,14800,13700,14800,489462
20081209,14650,14950,14250,14400,300321
20081210,14400,15500,14250,15400,485019
20081211,15250,15500,14850,15250,298868
20081212,14850,15300,14250,14500,346838
20081215,14750,15400,14700,15050,279301
20081216,15000,16050,14850,15900,371381
20081217,16250,16250,14700,15200,503178
20081218,15200,15500,14850,15250,213967
20081219,14900,15200,14700,15100,270243
20081222,15350,15750,15350,15400,207092
20081223,14900,14950,14000,14000,405581
20081224,13950,14000,12850,13800,590010
20081226,13750,14050,13450,13800,313256
20081229,13400,13700,12950,13650,220256
20081230,13800,14000,13650,13650,192053
20090102,13900,14250,13650,14000,116437
20090105,14350,14750,14300,14650,259320
20090106,14400,15150,14400,15150,224279
20090107,15100,15850,15100,15800,504773
20090108,15300,15600,15100,15450,183736
20090109,15500,15900,15300,15650,187879
20090112,15100,15600,15100,15400,183923
20090113,15300,15550,14900,15400,89687
20090114,15500,16000,15050,16000,246555
20090115,15300,15400,14350,14650,257172
20090116,14650,14800,13800,14000,331636
20090119,14150,14550,14050,14300,245383
20090120,14050,14300,13900,14000,167589
20090121,13550,14050,13300,13900,157301
20090122,14150,14250,13750,14000,106062
20090123,13800,14550,13550,14150,214360
20090128,14400,15300,14400,15150,175038
20090129,15300,15700,15200,15650,295366
20090130,15250,15550,15000,15550,236221
20090202,15300,15600,15000,15350,597403
20090203,15350,15500,14850,15100,321906
20090204,15750,17050,15650,16650,632623
20090205,16500,17350,16300,16650,514740
20090206,17000,17800,16850,17800,419616
20090209,18000,18300,17650,17850,419911
20090210,18000,18450,17500,18400,420002
20090211,17600,19000,17600,19000,329256
20090212,19000,19000,18200,18200,325755
20090213,18000,18600,17850,18450,206720
20090216,18100,18450,17900,18300,92442
20090217,18050,18150,17250,17800,84015
20090218,17200,17800,17000,17550,92700
20090219,17400,17800,16750,17500,194737
20090220,17400,17400,16600,17100,137014
20090223,17100,18200,16750,18200,184283
20090224,17550,17700,17250,17250,87910
20090225,17800,18150,17650,17900,196550
20090226,18100,18800,17300,18050,340760
20090227,18250,18250,17400,17850,105614
20090302,17800,17800,16800,16850,46433
20090303,16700,17400,16500,17100,168780
20090304,16950,17600,16650,17450,270175
20090305,17550,17900,17250,17550,150745
20090306,17200,18000,16950,17650,167910
20090309,18000,18150,17450,17850,160722
20090310,17550,18000,17200,17850,168666
20090311,18300,18300,17950,18200,123244
20090312,17900,18500,17750,18200,142870
20090313,18350,19150,18350,18900,360562
20090316,19000,19550,18850,19050,227347
20090317,19100,19650,18750,19650,264635
20090318,19700,20350,19450,19950,119659
20090319,20000,20000,18600,18650,196846
20090320,18700,19050,18300,19050,214870
20090323,18950,19250,18700,19250,201490
20090324,19700,20000,19350,19850,210949
20090325,19700,19750,19200,19600,156308
20090326,19500,19900,19150,19900,135257
20090327,20000,20700,19950,20150,224032
20090330,20150,20300,19500,19800,112315
20090331,19950,20750,19900,20650,250470
20090401,20650,21350,20450,21100,242711
20090402,21500,22200,21350,22100,325318
20090403,22450,23300,21800,22800,373101
20090406,22700,23800,22700,23600,260040
20090407,23600,23850,22650,23250,332433
20090408,23050,23050,22350,22800,198790
20090409,23050,24200,22800,24200,484406
20090410,24450,24650,23050,23900,197205
20090413,24600,24650,23750,23750,201025
20090414,24000,24100,22850,24100,296671
20090415,23500,23700,22850,23600,388377
20090416,23700,23900,22350,22500,350043
20090417,22650,23200,22500,22950,196140
20090420,23000,23550,22750,23000,151230
20090421,22400,22600,21950,22600,245519
20090422,22650,23000,22300,23000,164243
20090423,23000,23900,22850,23500,322270
20090424,23250,23300,22150,23000,515008
20090427,22200,22850,22100,22600,149394
20090428,22500,22650,22050,22450,245790
20090429,22350,22550,22150,22500,204718
20090430,22800,23950,22700,23950,237379
20090504,24050,24450,23350,24250,411205
20090506,24300,24300,23450,23700,332513
20090507,24250,24350,23600,23850,374405
20090508,23500,23800,22350,23300,350627
20090511,23000,23000,22650,22850,156785
20090512,22500,23550,22500,23250,187852
20090513,23550,24250,23500,24050,594140
20090514,23950,24150,23600,23800,289889
20090515,23900,26200,23650,26200,523912
20090518,25900,26550,25550,26150,371767
20090519,26500,27900,26350,27900,335728
20090520,28000,29400,27950,29400,370922
20090521,29050,29700,28700,29500,597448
