날짜,시가,고가,저가,현재가,거래량
20080102,35000,35000,33400,33400,14653
20080103,32950,33200,32800,33100,40400
20080104,33000,33150,32700,33050,13721
20080107,31900,32500,31600,31900,23255
20080108,31800,32500,31750,32350,9710
20080109,31700,32250,31150,31700,33731
20080110,32100,32100,30300,31650,16460
20080111,31750,31900,30400,30500,29681
20080114,30500,30750,29350,29650,71713
20080115,29550,29600,28600,28700,36169
20080116,28050,28700,28000,28600,56852
20080117,28450,29950,28450,29950,36002
20080118,29200,31100,28900,30950,28210
20080121,30500,31250,29600,30050,54271
20080122,29050,30400,29050,30300,70070
20080123,30300,32100,30250,32100,154544
20080124,32300,32300,30500,31500,144610
20080125,31300,31950,31100,31900,80107
20080128,31700,31700,30600,31000,28816
20080129,31300,32500,31050,32300,24841
20080130,32050,32050,31300,32000,70195
20080131,32250,32250,31150,31500,24661
20080201,31500,31550,30450,30800,26901
20080204,30900,31200,30800,31100,34784
20080205,30950,30950,30700,30900,43344
20080211,30100,30450,29600,30100,24674
20080212,30050,30100,29300,30100,35190
20080213,30300,30300,28900,29150,43366
20080214,29350,29600,29200,29550,41805
20080215,28900,29100,28450,28750,47221
20080218,28850,28850,28250,28400,19927
20080219,28550,28550,28200,28300,30912
20080220,28150,28250,27450,27450,45934
20080221,27500,27950,27350,27800,48350
20080222,27450,27700,27150,27500,20595
20080225,27700,28000,27100,27100,78391
20080226,27600,27600,26700,26700,28334
20080227,26950,27150,26700,27000,57407
20080228,27100,27350,26900,27250,82485
20080229,27000,27200,27000,27200,14718
20080303,26900,27000,26700,27000,34026
20080304,27000,27200,26750,26850,16709
20080305,26800,27000,26750,26850,28480
20080306,26900,26900,26500,26500,19600
20080307,26500,26500,25800,26000,67410
20080310,25500,26100,25350,25500,92032
20080311,25150,26250,25150,25850,55071
20080312,26800,26800,25650,25650,46509
20080313,25600,25600,24600,24900,41372
20080314,24900,25750,24900,25300,30973
20080317,25200,25950,25200,25900,64340
20080318,25900,26450,25700,26450,156540
20080319,26200,26900,26050,26750,77510
20080320,26600,26700,26050,26500,96191
20080321,26700,27300,26300,27300,86110
20080324,27500,27800,27200,27600,83100
20080325,27650,28200,27650,27800,222521
20080326,27750,27850,27150,27200,220115
20080327,27150,28350,27150,28350,229758
20080328,28400,30350,28250,30300,158120
20080331,30250,31150,30100,31000,204696
20080401,31300,31850,30900,31000,324984
20080402,32000,32400,31800,31950,285572
20080403,31900,32850,31600,31900,242771
20080404,32000,32000,30850,31550,177325
20080407,31550,32350,31400,31500,82449
20080408,31500,31500,30700,30800,78616
20080410,30400,31000,30400,30800,670300
20080411,30900,32500,30900,32250,185543
20080414,31650,32700,31650,32500,206370
20080415,32100,32550,31800,32000,98650
20080416,32200,32600,31750,32500,43630
20080417,33000,33500,32700,32900,111948
20080418,32750,33400,32750,32950,54903
20080421,33400,34850,33400,34600,113925
20080422,34700,35000,33900,34400,113197
20080423,34150,34650,34100,34100,48210
20080424,34200,34600,32900,33000,50249
20080425,33300,34100,33300,34000,37213
20080428,34150,34900,34000,34500,48322
20080429,34500,34900,34300,34500,76072
20080430,34600,35000,34200,35000,47472
20080502,35500,36100,35350,35550,92653
20080506,35600,36000,35200,36000,125673
20080507,36300,37250,36100,37250,109718
20080508,36700,37250,36700,37250,52155
20080509,37700,37700,36150,36750,57855
20080513,36950,37000,35900,37000,78625
20080514,37000,37400,36350,37000,70204
20080515,37000,37800,36800,37800,170960
20080516,38200,38300,37000,37450,176551
20080519,37400,37400,36200,36500,68948
20080520,36500,36800,35150,36000,34984
20080521,35200,35250,34650,34750,117520
20080522,33950,35000,33200,35000,97589
20080523,34950,34950,34350,34500,26867
20080526,34100,34100,32600,32900,91388
20080527,32900,33700,32450,33450,77610
20080528,33250,33450,32900,32900,80834
20080529,33300,34250,32950,33850,80492
20080530,33850,34250,33650,34250,34492
20080602,34300,34300,33650,34000,24604
20080603,33700,33900,32600,32750,44801
20080604,32600,33300,32300,33000,37250
20080605,33600,33600,33050,33250,24710
20080609,32050,32600,32050,32300,117574
20080610,32150,32450,30500,31000,68991
20080611,31200,31350,30900,31150,39340
20080612,30750,31200,30700,31150,10800
20080613,31000,31500,30700,31200,53323
20080616,31700,32100,31550,31900,37321
20080617,32000,32350,31550,31850,25290
20080618,31800,31800,31050,31600,24400
20080619,31400,31500,30550,30800,46216
20080620,30800,30950,30200,30600,21120
20080623,30100,30100,29500,29700,44752
20080624,29500,30000,29300,29500,21281
20080625,29250,29300,28250,29000,83007
20080626,29150,29350,28800,29250,61447
20080627,28600,28600,27950,28100,42054
20080630,27600,28050,27050,27050,47628
20080701,27050,27700,26800,27650,27310
20080702,27900,27900,26850,26900,142058
20080703,26900,26900,26200,26500,144553
20080704,26650,26850,26200,26200,125868
20080707,26000,26200,25350,25850,51882
20080708,25650,25850,24200,24500,99814
20080709,25050,25500,24600,24750,42601
20080710,24000,24200,23600,24000,115320
20080711,24200,25350,24200,25050,197670
20080714,24700,25300,24500,24500,119675
20080715,24500,24600,23400,23400,115180
20080716,23700,24250,23300,23600,123720
20080717,24600,25200,24300,25000,106960
20080718,25500,25800,24550,24900,90561
20080721,25150,26650,25150,26400,124131
20080722,26350,26500,25700,26150,81590
20080723,26900,27050,26500,26950,51509
20080724,27300,27800,27000,27350,85790
20080725,26800,27000,26400,26850,55920
20080728,27200,27200,26450,26550,19152
20080729,25750,26000,25200,25400,49112
20080730,25850,26200,25650,26000,54599
20080731,26150,26400,25750,26050,19470
20080801,25900,25900,25300,25500,25650
20080804,25500,25500,24300,24400,40520
20080805,24200,25100,24200,24450,65114
20080806,25100,25600,25050,25550,60272
20080807,25300,25750,24500,24950,62276
20080808,24750,25300,24600,25050,86495
20080811,25850,26200,25750,26050,39938
20080812,26150,26950,26100,26250,79570
20080813,25900,26500,25900,26300,12413
20080814,26150,26400,26050,26350,22820
20080818,26350,26600,26050,26100,30900
20080819,25650,26100,25150,26000,56805
20080820,25700,25700,25250,25300,58131
20080821,25300,25300,24700,24700,58914
20080822,24700,24700,24000,24450,37320
20080825,24700,25450,24700,25100,71782
20080826,24600,25700,24600,25350,33883
20080827,25500,25650,24850,25400,25691
20080828,25350,25350,24550,24700,27506
20080829,24750,25100,24400,24950,31443
20080901,24550,24750,23700,23800,67924
20080902,23800,24350,23550,23750,36636
20080903,23950,24900,23950,24450,268899
20080904,24550,25100,24450,25000,52776
20080905,24350,25200,24250,25000,37600
20080908,25300,26250,25300,26100,189938
20080909,26100,26150,25700,25850,65330
20080910,25400,25700,24900,25200,99785
20080911,25200,25200,24700,24750,48490
20080912,24900,25200,24900,24950,58121
20080916,23100,24200,22400,23000,103853
20080917,23500,23900,23400,23500,241110
20080918,22800,23150,21950,22100,282417
20080919,22750,23650,22700,23200,97392
20080922,23500,23600,22900,23200,184391
20080923,22900,23500,22800,23300,240132
20080924,23300,23700,23100,23700,216755
20080925,23500,24050,23400,23800,157529
