날짜,시가,고가,저가,현재가,거래량
20080102,25400,25500,24150,24400,511552
20080103,24000,25150,23750,24950,667596
20080104,25200,25750,24850,25500,840257
20080107,24600,24950,23650,24000,842532
20080108,24250,24800,23700,23900,638399
20080109,23500,24650,23200,24500,618201
20080110,24450,24650,24000,24450,373784
20080111,24300,24950,23100,23450,608824
20080114,23250,23300,21850,22650,621132
20080115,23050,23050,21200,22250,787015
20080116,21800,22600,21600,21650,342182
20080117,22050,23400,21650,23000,417103
20080118,22700,23550,22400,23250,438819
20080121,23400,23450,21250,21750,515974
20080122,20850,21950,20650,21250,702202
20080123,21900,23000,21500,21700,535993
20080124,22300,22700,21000,21050,919210
20080125,21200,21300,19600,19900,1579079
20080128,19600,19650,18000,18350,1090514
20080129,19150,19800,18450,19600,1042415
20080130,19800,20000,18450,18600,605167
20080131,18150,20550,18150,20550,1239272
20080201,21000,21700,20650,20850,840015
20080204,21300,21950,20650,21900,484508
20080205,21350,21850,21150,21800,379928
20080211,20850,20900,19100,20700,159292
20080212,20700,20950,19950,20300,371041
20080213,20800,20800,19800,19800,384570
20080214,20400,21350,20350,21050,504128
20080215,20600,21500,20500,20800,504279
20080218,21000,22150,20950,22100,595496
20080219,22450,22500,21650,22400,549609
20080220,22400,22600,21800,22200,506993
20080221,22600,22750,21400,21500,681737
20080222,21000,21200,20600,20900,476688
20080225,21100,21650,20800,21000,547362
20080226,21550,22100,21500,22100,698142
20080227,22350,22350,21250,21850,835209
20080228,21950,21950,21350,21650,253547
20080229,21650,21700,21350,21500,223147
20080303,20550,20800,19950,20150,781058
20080304,20200,20600,19950,20150,441563
20080305,20600,21100,20250,20800,451962
20080306,21150,21150,20650,20850,420309
20080307,20300,20350,19950,19950,309312
20080310,19300,19700,18550,18950,500003
20080311,18400,19250,18000,19150,884360
20080312,20500,20700,19900,20300,956073
20080313,20300,20400,19600,20100,471155
20080314,20600,20650,19500,20450,466411
20080317,19850,20000,19350,19600,380110
20080318,19850,20050,19350,19700,314782
20080319,20500,20800,20250,20500,364342
20080320,20150,20800,19950,20800,345914
20080321,21250,21500,20950,21400,568860
20080324,21600,21950,20900,20950,445625
20080325,21250,21850,21250,21600,528241
20080326,21550,22400,21500,22100,634441
20080327,21950,22200,21500,22100,220380
20080328,21550,22250,21550,22250,231371
20080331,22050,22050,20800,20900,698350
20080401,21350,21350,20450,20450,638425
20080402,21050,21200,20350,20500,1068632
20080403,20700,21150,20100,20250,955967
20080404,20350,20900,19800,20400,999871
20080407,20650,20700,20050,20200,940752
20080408,20100,20150,19400,19400,939676
20080410,19350,19700,19050,19350,580532
20080411,19550,20300,19450,20300,1277777
20080414,19800,20150,19600,19650,396652
20080415,19600,20000,19400,19500,443366
20080416,19800,20200,19750,20200,686847
20080417,20450,20650,20050,20050,620584
20080418,20200,20250,19600,19650,482686
20080421,19800,20400,19650,20400,1253685
20080422,20100,20300,19600,19600,831660
20080423,19500,19850,19350,19600,1583084
20080424,19800,20400,19500,19850,1521165
20080425,20300,20850,20250,20650,1747608
20080428,21000,21050,20350,20500,791127
20080429,20700,20700,20050,20050,512292
20080430,20150,20650,20150,20600,498650
20080502,21000,21200,20700,21150,802763
20080506,21450,21450,20800,21350,715941
20080507,21500,21700,20850,21400,887536
20080508,21100,21100,20550,20600,898667
20080509,20450,20550,19800,19900,992247
20080513,19900,20650,19850,20550,883147
20080514,20550,21750,20250,21600,1579225
20080515,22000,22850,21600,22650,1545679
20080516,22800,23500,22500,22600,987255
20080519,22700,23150,22100,22650,578277
20080520,22650,22950,22150,22700,580266
20080521,22200,22450,21650,22050,345661
20080522,21800,23150,21500,22750,825471
20080523,23000,23050,22400,22650,344044
20080526,22200,22650,21900,22550,437009
20080527,22550,23400,22050,23400,551513
20080528,23500,23700,22700,22700,465042
20080529,23100,23100,22200,23100,779224
20080530,23050,24400,22650,23800,2046938
20080602,23600,24450,23150,23900,826922
20080603,23300,23650,22500,23600,895089
20080604,23250,23600,23100,23300,494357
20080605,23300,24250,23000,24150,509396
20080609,23500,24500,23450,24150,460049
20080610,24150,24450,23600,23900,467096
20080611,24400,24950,24050,24700,859438
20080612,24400,24750,23700,24500,693021
20080613,24500,24600,23450,24000,689746
20080616,24200,24200,23200,23700,625988
20080617,23500,23700,23050,23550,266545
20080618,23450,24400,23300,24400,465061
20080619,24350,24650,23800,24450,649264
20080620,24500,24600,23200,23300,445475
20080623,22700,23300,22650,22850,253813
20080624,22600,23600,22600,23400,383466
20080625,23100,23700,22300,23500,517161
20080626,23500,23650,22550,22900,348936
20080627,22150,22800,22150,22500,294611
20080630,22300,22800,22050,22800,329715
20080701,22750,24000,22600,22600,606241
20080702,22850,23050,21450,22150,561979
20080703,21450,22300,21250,22150,491162
20080704,21800,22400,21700,21850,270996
20080707,21750,21750,20600,21000,1009206
20080708,20750,20950,19550,20050,791465
20080709,20700,21600,20000,21050,695532
20080710,20550,22900,20550,22500,491456
20080711,22250,22700,21750,22650,460728
20080714,22350,22600,22100,22200,322039
20080715,22400,22500,21350,21700,519235
20080716,21900,22200,21250,21500,525222
20080717,22050,22350,21750,21900,469030
20080718,22200,22350,21500,21800,272296
20080721,22100,23150,19800,20000,3642955
20080722,19900,20250,19400,20000,1206142
20080723,20400,20900,20000,20800,1354512
20080724,21150,21200,20600,20750,758724
20080725,20300,20550,20200,20400,370960
20080728,20600,20650,19750,20150,695954
20080729,19650,19750,19000,19400,722969
20080730,19750,20000,19400,19950,492480
20080731,19850,20750,19850,20700,779152
20080801,20800,21300,20350,20800,862817
20080804,21050,21100,20250,20900,399366
20080805,20600,20900,20450,20800,303503
20080806,21200,21400,20400,20800,782226
20080807,20900,20900,20250,20550,478317
20080808,20400,21150,20350,20750,432164
20080811,21100,21200,20000,20000,620053
20080812,20050,20150,19300,19400,943990
20080813,19500,19600,19050,19200,552133
20080814,19250,19750,19200,19500,483356
20080818,19650,19850,19350,19850,272437
20080819,19600,19600,18850,19100,570113
20080820,19100,19250,18900,19250,293341
20080821,19250,19250,18650,19100,280879
20080822,18650,19000,17500,17500,1008179
20080825,17450,17500,16350,17000,2048681
20080826,16650,17500,16500,17000,594534
20080827,17050,17950,17000,17850,727823
20080828,18150,18300,17650,17950,502997
