날짜,시가,고가,저가,현재가,거래량
20080102,22500,22500,21750,21750,269390
20080103,21500,23200,21500,23150,459618
20080104,23000,24350,22600,24200,552190
20080107,23850,24900,23800,24500,360961
20080108,24300,24750,23650,24000,169832
20080109,23400,24650,23400,24300,240246
20080110,24700,25250,24500,24750,304234
20080111,25050,25500,23900,23950,321323
20080114,24000,24250,23250,23400,140920
20080115,23500,23750,22950,23450,237844
20080116,22750,23400,22000,22000,339895
20080117,22300,23350,22250,23300,169372
20080118,22950,26750,21550,24150,237710
20080121,23800,24000,22900,23250,182548
20080122,22400,22900,21650,22750,242803
20080123,22400,23400,22400,23400,185020
20080124,23650,24500,23650,24450,236629
20080125,24500,24900,23950,24900,239300
20080128,24500,25250,24350,24450,273382
20080129,25000,26200,24850,26000,415162
20080130,26300,26500,24650,25400,350922
20080131,25400,26600,24600,26500,349147
20080201,27000,27250,26200,26500,291694
20080204,26650,27200,26250,26300,415045
20080205,26350,26850,26350,26500,127186
20080211,25700,26950,25700,26600,149213
20080212,27150,28000,26750,27700,455384
20080213,28000,28300,27450,27700,494652
20080214,28000,28100,27550,27700,651535
20080215,27600,28100,27550,27750,460450
20080218,27650,27700,26500,26650,419291
20080219,26850,27850,26450,27650,358513
20080220,27700,28400,27100,27950,355055
20080221,28400,29300,28300,29150,452141
20080222,29100,29900,28500,29900,357157
20080225,29800,30000,29300,29850,282397
20080226,30250,30350,28450,29300,401564
20080227,29100,29350,28050,28050,360730
20080228,28300,28800,28100,28400,335241
20080229,28300,28800,27900,28500,222100
20080303,27900,28500,27400,28500,187000
20080304,28750,29300,28400,28500,198371
20080305,28700,29150,28300,28400,216094
20080306,28600,28700,27750,28000,272174
20080307,27500,28250,27500,27800,224871
20080310,27200,27700,26650,27450,224742
20080311,27000,27950,26900,27800,211840
20080312,28450,28500,27550,27550,197438
20080313,27850,28150,27050,27500,218900
20080314,27900,28400,27100,27300,281383
20080317,27100,27150,25900,26300,237234
20080318,26400,28000,26300,27900,192469
20080319,28400,28400,27400,28000,210243
20080320,27650,28200,27350,27850,141360
20080321,28050,28250,27550,27700,125425
20080324,27950,28700,27700,28650,228621
20080325,28850,29050,28400,28650,217837
20080326,28600,29300,28600,29000,186772
20080327,29000,29000,28300,28550,165483
20080328,28500,29000,28300,28300,255318
20080331,28000,28000,26850,27150,679263
20080401,26900,27150,26050,26500,633944
20080402,26800,27050,25350,25350,949463
20080403,25550,25950,25250,25900,479921
20080404,25900,26350,25600,26350,353265
20080407,26150,26450,25700,25750,425823
20080408,25850,26700,25400,26250,365227
20080410,26400,26400,25900,26200,206950
20080411,26300,26800,26000,26750,313799
20080414,26400,27250,26400,26950,441723
20080415,27100,27200,26600,27150,242056
20080416,26950,27200,26700,26750,345512
20080417,27050,27400,26750,26850,377529
20080418,27050,28950,27050,28850,1018686
20080421,29200,29200,28600,29000,512032
20080422,29250,29750,26750,26850,1612923
20080423,26550,27550,26550,27150,622891
20080424,27250,27550,26650,27050,346730
20080425,26900,27000,26300,26400,501701
20080428,26600,26600,25200,25500,524172
20080429,25700,25700,24800,25000,486072
20080430,25050,25950,25050,25950,231931
20080502,26300,26350,25800,25950,275441
20080506,25900,26200,25300,25800,230483
20080507,25800,25800,25150,25300,356219
20080508,25000,25200,24600,24900,507071
20080509,24900,24900,23750,23800,465443
20080513,24000,24500,23950,24100,216780
20080514,24200,24800,24200,24750,177706
20080515,25000,25000,24200,24650,305798
20080516,24900,25200,24450,24600,239529
20080519,24700,24750,24100,24100,290215
20080520,24250,25650,24200,25600,520532
20080521,25400,25550,25000,25100,274543
20080522,24400,25100,24400,24600,272063
20080523,24700,25050,24500,24700,200007
20080526,24700,24700,23950,24300,184690
20080527,24300,24500,23800,23900,256371
20080528,24100,24100,23300,23350,242876
20080529,23350,23850,23350,23500,205013
20080530,23550,24000,23550,23800,196970
20080602,24000,24100,23500,23500,237602
20080603,23500,23800,23200,23500,244200
20080604,23650,23700,23300,23500,164595
20080605,23500,24550,23500,24350,344368
20080609,23800,25000,23600,24900,269781
20080610,24900,25000,23700,23900,266691
20080611,24400,24400,23700,24300,184201
20080612,23850,24100,23650,24100,177223
20080613,24100,24250,23300,23400,136124
20080616,23700,24400,23550,23700,142407
20080617,24050,24500,23750,23850,254885
20080618,23750,25150,23700,25100,359501
20080619,24700,25250,24700,25100,265054
20080620,25150,26500,25150,26400,1120590
20080623,26400,27500,26400,27500,1229005
20080624,27500,27600,26950,27250,416493
20080625,27400,28100,26700,28000,623389
20080626,27650,28000,27300,27950,335851
20080627,27200,27750,26900,27600,304526
20080630,27400,27600,26200,27400,576585
20080701,27050,28450,26700,28400,499670
20080702,28400,28400,26400,27400,428592
20080703,26700,26800,25800,26500,347596
20080704,26500,27300,25500,25700,281151
20080707,25300,25950,24050,24600,379725
20080708,24250,24600,21500,24300,726324
20080709,24550,24850,23000,23000,500016
20080710,22050,24500,22050,24500,409565
20080711,24100,24550,23300,24300,599979
20080714,23850,24450,23450,23600,333162
20080715,23300,23400,21750,21800,572734
20080716,22000,22450,20800,21800,585540
20080717,22350,22550,21650,21800,446965
20080718,22200,22800,22000,22450,474072
20080721,22600,22900,22350,22750,543083
20080722,22400,22600,22100,22300,258114
20080723,22900,23550,22850,23100,506043
20080724,23100,23800,23050,23800,543331
20080725,23200,23550,22750,23500,371024
20080728,23600,23700,22950,23400,280323
20080729,22800,23900,22650,23900,296470
20080730,23900,24550,23750,24550,431875
20080731,24600,24800,24250,24600,268308
20080801,24200,24450,23650,23700,162498
20080804,23500,23700,22700,22900,211684
20080805,23000,23250,21900,22800,459487
20080806,23200,23650,22800,23250,361253
20080807,23400,23400,22300,22700,400986
20080808,22300,22750,22200,22700,233996
20080811,22900,23000,22500,22700,293330
20080812,22700,23700,22700,23550,394597
20080813,23600,23950,23300,23550,146502
20080814,23300,23600,23100,23400,235669
20080818,23300,23600,22300,22800,474997
20080819,22500,22750,22250,22250,224405
20080820,21900,22800,21900,22800,186998
20080821,22600,22700,22100,22400,179154
20080822,22100,22400,21900,22400,169622
20080825,22600,22600,22150,22400,144274
20080826,22000,22500,21950,22400,105392
20080827,22500,22800,22050,22600,166263
20080828,22600,22800,22150,22150,127521
20080829,22350,22350,21300,21700,403190
20080901,21200,21250,18450,18500,851756
20080902,18350,18700,15750,16400,1335796
20080903,15900,18150,15900,18150,1048481
20080904,17850,18600,17750,18600,449031
20080905,17800,18850,17750,18850,298212
20080908,18850,19100,18200,18850,694652
20080909,18950,18950,17450,17550,438862
20080910,17250,18400,17150,18250,430968
20080911,18300,18500,17800,17900,212083
20080912,18200,19350,18200,19050,478920
20080916,17050,17850,17000,17400,290700
20080917,18100,18400,17800,18000,292062
20080918,17300,18050,17100,18000,205964
20080919,18700,18850,18300,18450,313534
20080922,18500,18700,17650,17650,255782
20080923,17600,17950,17250,17800,489447
20080924,17650,17900,17350,17500,565080
20080925,17750,18250,17400,17650,911922
20080926,17650,17800,16500,16900,839454
20080929,17200,17200,16050,16050,600370
20080930,14700,15750,14600,15700,652185
20081001,15800,16300,15650,15850,464405
20081002,15900,16100,15100,15800,375243
20081006,15350,15400,14550,14950,310677
20081007,14400,14750,14200,14550,532255
20081008,14000,14000,12400,12600,739027
20081009,12350,13400,12300,13300,768124
20081010,12400,14150,11700,14000,470715
20081013,14450,14500,13350,13850,608336
20081014,14500,14950,14450,14800,796139
20081015,14500,14700,14100,14700,445705
20081016,13800,14000,12550,12600,458839
20081017,13300,13350,12050,12950,476036
20081020,13100,13500,12400,13500,252352
20081021,13600,14000,13050,13150,327905
20081022,13100,13250,11850,12450,355599
20081023,11700,11950,10800,11250,363902
20081024,11000,11300,9600,9600,445246
20081027,9160,9860,9000,9150,326104
20081028,8550,9980,8550,9960,519621
20081029,10500,11000,8660,9870,534844
20081030,10850,11350,10500,11350,429658
20081031,11850,13000,11650,12750,813765
20081103,12750,13200,12500,12800,644042
20081104,12900,14200,12200,14100,812440
20081105,14600,14950,13500,14500,1040744
20081106,13600,13700,12350,12450,584054
20081107,11800,13550,11750,13500,336299
20081110,13800,14750,13650,14150,639331
20081111,13900,15000,13550,14600,435829
20081112,14100,14750,13850,13900,358585
20081113,13250,13500,12800,13000,231937
20081114,13700,14300,13300,14300,400837
20081117,14200,14400,13750,14250,262562
20081118,13950,14300,13500,13600,265678
20081119,13750,13950,12900,13550,450641
20081120,12750,13200,12700,13000,208777
20081121,12600,13750,12300,13500,300677
20081124,13600,13650,12700,12700,284118
20081125,13200,13500,13000,13400,342365
20081126,13650,14500,13550,14300,520271
20081127,14500,15000,14050,14800,644074
20081128,15100,15450,14500,14900,446094
20081201,14950,15250,14750,14900,404048
20081202,14150,14600,14050,14500,298663
20081203,14700,14700,12350,12350,1305446
20081204,11800,11850,10650,10900,4125289
20081205,11050,11400,10850,11350,1342098
20081208,11650,11950,11300,11900,2228146
20081209,12100,12100,11400,11500,1612344
20081210,11550,12800,11500,12600,2612322
20081211,12600,13200,12350,12500,1894683
20081212,12300,12600,11600,11950,1062066
20081215,12250,12500,12150,12400,919307
20081216,12200,12700,12050,12500,1006495
20081217,12950,13350,12650,13150,1777673
20081218,13400,14100,13000,13750,1607226
20081219,13500,13700,13150,13450,719980
20081222,13550,13600,13100,13450,810702
20081223,13250,13350,12550,12600,717210
20081224,12500,12650,12050,12050,425949
20081226,12200,12650,12150,12550,424200
20081229,12400,13200,12150,13200,368394
20081230,13200,13250,12850,12850,446675
20090102,13100,13350,12900,13000,726035
20090105,13150,13900,13000,13600,1542772
20090106,13650,14000,13600,13800,811898
20090107,13800,14700,13700,14500,1311238
20090108,14300,15150,14250,14250,776554
20090109,14500,14500,13900,14100,454037
20090112,13900,14700,13800,14050,393557
20090113,14150,14450,13950,14400,262394
20090114,14250,14700,14250,14650,370629
20090115,14050,14500,13400,13400,412652
20090116,13600,14150,13550,14100,241861
20090119,14300,14450,14050,14200,289680
20090120,14200,14200,13500,13500,196789
20090121,12800,13450,12800,12900,173240
20090122,13250,13250,12500,12550,627337
20090123,12400,12750,12200,12200,462385
20090128,12600,12950,12550,12850,321125
20090129,12950,13100,12650,12650,308781
20090130,12750,13200,12750,12900,387104
20090202,12800,13100,12650,12750,217760
20090203,12800,13350,12650,13150,385380
20090204,13350,13550,13250,13350,349100
20090205,13250,13300,12600,12750,490048
20090206,13000,13200,12700,13200,382603
20090209,13450,14150,13350,13600,808723
20090210,14000,14000,13600,13750,277931
20090211,13300,14500,13250,14500,658210
20090212,14300,14800,14150,14350,537850
20090213,14300,14650,13900,14300,692548
20090216,14300,14600,14100,14150,468235
20090217,14000,14950,13750,14100,1108889
20090218,14000,15400,14000,15150,1095632
20090219,15450,16300,15350,15700,1497039
20090220,15650,16050,14250,14450,1118355
20090223,14450,14700,13300,14550,1091073
20090224,13800,14700,13700,14300,695102
20090225,14650,15050,13900,13900,782075
20090226,14050,14400,12850,13200,663836
20090227,13300,13700,13000,13600,236191
20090302,13250,13400,12800,13200,159399
20090303,12700,13100,12650,13000,188165
20090304,12900,13300,12800,13200,613655
20090305,13350,13350,12750,12800,602806
20090306,12450,12800,12400,12700,335721
20090309,12950,13250,12850,13150,413502
20090310,13050,14550,13050,14300,862987
20090311,14800,14800,14000,14550,581078
20090312,14400,14750,14150,14650,362419
20090313,14850,15100,14500,14800,358707
20090316,15400,16200,15150,15250,1147019
20090317,15400,15750,14700,15250,660845
20090318,15450,15450,15050,15300,276051
20090319,15450,16600,15350,16500,1103360
20090320,16900,16900,15900,16400,454748
20090323,16350,17350,16200,16950,641802
20090324,17200,17300,15950,16600,705275
20090325,16600,16700,16150,16300,341892
20090326,16400,16950,16200,16500,505171
20090327,16800,17800,16000,16000,903955
20090330,16100,16650,16100,16350,531477
20090331,16550,16850,16300,16800,358466
20090401,17000,17200,16700,17000,397725
20090402,17200,17550,16800,16900,686518
20090403,17000,17000,15950,16100,1172046
20090406,16150,16400,15950,16200,873945
20090407,16200,16250,15700,15800,854500
20090408,15650,16250,15550,15900,880184
20090409,16150,16650,15900,16500,893860
20090410,16900,17000,16100,16300,847739
20090413,16450,16600,16100,16200,733227
20090414,16350,17200,16100,16800,1276013
20090415,16800,17450,16600,17150,1436266
20090416,17500,17950,16950,17150,1252871
20090417,17700,18150,16450,16700,1390152
20090420,16900,16950,16250,16650,457075
20090421,16200,16650,16200,16600,334645
20090422,16850,17150,16700,16850,601045
20090423,16950,16950,16250,16600,942936
20090424,16700,16950,16350,16400,670475
20090427,16600,16650,16150,16250,417601
20090428,16200,16250,15300,15300,605438
20090429,15400,15800,15300,15700,460336
20090430,16100,16250,15400,15900,806045
20090504,16050,16350,15700,16350,719505
20090506,16400,17550,16250,17500,1849328
20090507,17950,18300,17150,17500,1264679
20090508,17550,18050,17500,17750,648354
20090511,18000,18300,17750,18000,848680
20090512,17850,18200,17450,17600,475543
20090513,17750,17850,17200,17300,321112
20090514,17350,17950,17250,17850,585789
20090515,18050,18600,17950,17950,894529
20090518,17850,17850,16950,17350,468037
20090519,17600,17650,17250,17300,583159
20090520,17350,17550,17000,17100,474218
20090521,17100,17100,16300,16300,808400
20090522,16200,16700,15950,16100,829224
20090525,16100,16500,15000,16400,758330
20090526,16350,16700,15600,15800,556945
20090527,16100,16100,14850,15000,1082606
20090528,14900,15200,14000,14600,1331824
20090529,14600,15050,14450,14900,569581
20090601,15100,15850,15100,15850,805267
20090602,16000,16100,15550,15850,935567
20090603,15850,16100,15600,16000,363117
20090604,15750,15850,15050,15050,388451
20090605,15300,15400,14900,15200,349413
20090608,15200,15500,15050,15050,287616
20090609,15200,15250,14600,14700,433833
20090610,14750,15250,14700,15150,444217
20090611,15150,15450,15050,15300,393692
20090612,15450,15600,15100,15150,332079
20090615,15300,15650,15250,15600,632607
20090616,15400,15800,15300,15550,464721
20090617,15550,15600,15300,15350,265363
20090618,15500,16100,15400,15950,959106
20090619,16150,16200,15750,16100,622931
20090622,16050,16300,15900,16200,359670
20090623,15850,16300,15700,15950,665910
20090624,16000,16100,15250,15450,529695
20090625,15500,15850,15300,15800,299412
20090626,15900,16100,15550,16100,304980
20090629,16100,16200,15700,15900,273142
20090630,15950,16150,15850,16000,305158
20090701,16000,16050,15600,15850,275752
20090702,15950,16450,15850,16350,561551
20090703,16150,16750,16100,16700,652358
20090706,16600,16700,16350,16400,297536
20090707,16450,16600,16200,16200,399489
20090708,16100,16400,15800,16000,351721
20090709,16000,16350,15950,16200,323553
20090710,16300,16500,15750,15850,472988
20090713,15850,15850,14950,14950,593245
20090714,15200,15250,14650,14800,560305
20090715,14850,15300,14750,15150,655931
20090716,15300,15400,14900,14950,526542
20090717,15200,15250,15000,15100,367551
20090720,15200,15500,15150,15500,335693
20090721,15650,15650,15250,15350,403543
20090722,15450,15650,15300,15500,433314
20090723,15600,15900,15500,15800,442347
20090724,15900,16000,15700,15800,505637
20090727,15900,15950,15700,15900,479852
20090728,15850,16300,15750,16250,676301
20090729,16250,16650,16150,16600,908164
20090730,16500,16800,16100,16500,1092488
20090731,16700,17350,16450,17000,1333654
20090803,17200,17400,16850,17100,481287
20090804,17300,17650,17150,17500,955486
20090805,17750,17750,17300,17500,553855
20090806,17500,17500,17100,17500,393718
20090807,17500,17700,17150,17250,458140
20090810,17300,17500,17150,17300,296636
20090811,17450,17950,17350,17750,593005
20090812,17750,17800,17450,17800,291302
20090813,17950,18000,17550,17750,305005
20090814,17900,17900,17400,17600,381138
20090817,17150,17200,16250,16250,1108891
20090818,16250,16600,15850,15950,383205
20090819,16200,16450,15900,15900,361859
20090820,16000,16300,15600,15900,617357
20090821,16000,16000,15600,15650,398532
20090824,15700,15800,15350,15450,549574
20090825,15350,15750,15350,15400,295786
20090826,15550,16350,15500,16200,587111
20090827,16100,16150,15800,15850,186762
20090828,16000,16000,15600,15650,205601
20090831,15650,15850,15000,15000,513741
20090901,15100,15400,15050,15200,291295
20090902,15000,15350,14900,15250,291415
20090903,15250,15250,14650,14800,728755
20090904,14900,15000,14700,14700,331215
20090907,14850,15050,14800,14850,248201
20090908,14900,15300,14900,15300,412425
20090909,15400,15450,15050,15300,324257
20090910,15450,15650,15400,15600,359267
20090911,15650,15750,15400,15650,250983
20090914,15750,15750,15400,15650,239286
20090915,15700,16050,15600,16000,605311
20090916,16150,16400,16100,16200,744595
20090917,16450,16450,15850,15900,454951
20090918,16000,16400,15850,16350,663969
20090921,16400,16450,16200,16250,198360
20090922,16300,16350,15900,16050,301228
20090923,16100,16450,15900,16000,430687
20090924,16000,16050,15700,15800,219731
20090925,15800,15850,15500,15850,165906
20090928,15850,17200,15800,16700,1650082
20090929,17150,17900,17050,17500,2246075
20090930,17450,17700,16900,17300,733842
20091001,17150,17300,16400,16900,513939
20091005,16700,17100,16500,16700,301450
20091006,16950,16950,16350,16650,345106
20091007,16950,17350,16800,16950,444627
20091008,17150,17150,16750,17100,385720
20091009,17200,17500,16900,17100,433479
20091012,17350,17350,16750,16900,193782
20091013,17150,17500,16800,17000,650950
20091014,17000,17400,16750,17300,358845
20091015,17600,18000,17300,17750,1009841
20091016,17800,18300,17800,18150,929976
20091019,18050,18100,17700,17850,330319
20091020,18100,18150,17400,17700,567483
20091021,17600,18450,17550,18450,786883
20091022,18300,18350,17850,18200,482552
20091023,18300,18300,17800,18300,289522
20091026,18050,18250,17700,18250,413099
20091027,18000,18500,17950,18000,285629
20091028,17900,17900,17350,17450,522305
20091029,17150,17550,17000,17350,437219
20091030,17550,17750,17400,17700,266777
20091102,17200,17300,16950,17100,305009
20091103,17050,17550,17050,17200,260752
20091104,17450,17550,17150,17300,196886
20091105,17400,17550,17150,17350,136321
20091106,17600,17600,17100,17300,347015
20091109,17300,17400,17050,17300,255671
20091110,17450,17450,17000,17000,250248
20091111,17100,17750,17000,17750,326681
20091112,17800,17850,17500,17700,189620
20091113,17700,18000,17500,17900,255851
20091116,17800,18100,17650,17900,354884
20091117,18000,18800,17800,18350,691461
20091118,18400,18700,18300,18550,441222
20091119,18600,18800,18350,18800,370676
20091120,18750,19050,18550,18700,204579
20091123,18650,18800,18350,18400,243322
20091124,18400,18900,18400,18700,406359
20091125,18900,19500,18550,19300,577574
20091126,19350,19600,18900,19200,429216
20091127,18800,19200,18500,18700,513332
20091130,19000,19350,18750,19200,385202
20091201,19200,19300,18850,19000,227093
20091202,19300,19450,18900,19050,312345
20091203,19050,19100,18700,19000,247253
20091204,18900,19400,18700,19000,460402
20091207,19100,19100,18500,18600,439930
20091208,18700,18850,18500,18750,352622
20091209,18600,19100,18500,19000,303311
20091210,19100,19100,18550,18950,261220
20091211,18950,18950,18450,18600,415356
20091214,18650,19300,18500,19300,548057
20091215,19500,20650,19300,20650,1342797
20091216,20500,20750,20250,20600,372534
20091217,20650,20950,20200,20350,341746
20091218,20250,21500,20150,21500,563670
20091221,21500,21500,20750,20800,516862
20091222,20900,20900,20200,20450,442127
20091223,20550,21100,20250,20700,360691
20091224,20600,21050,20600,20800,204769
20091228,20950,21150,20700,20700,231393
20091229,20700,20850,20450,20600,118577
20091230,20400,20950,20400,20600,249676
20100104,20700,22000,20600,21950,494559
20100105,22050,22650,21750,22300,592156
20100106,22300,22400,21650,22200,511698
20100107,22200,22350,21500,21550,367498
20100108,21550,22000,21150,21350,343974
20100111,21350,22450,21350,22350,687549
20100112,22100,22350,21700,21750,397401
20100113,21700,22200,21450,21700,336771
20100114,22000,22900,21600,22600,590858
20100115,22700,23550,22500,23550,642380
20100118,23300,23750,22900,23550,278065
20100119,23550,24000,23200,23200,333556
20100120,23500,23750,23300,23450,304544
20100121,23200,23300,22650,22900,303139
20100122,22500,22650,21250,21650,605497
20100125,21100,21900,20750,21900,606059
20100126,21800,21900,20800,21300,367896
20100127,21200,21300,20550,20550,368803
20100128,20700,20950,20100,20700,301645
20100129,20300,20500,19700,19850,483309
20100201,19750,20100,19600,19800,271744
20100202,20100,20350,19900,20100,522748
20100203,20450,20900,20350,20800,279760
20100204,20800,21200,20550,21100,315265
20100205,20100,20150,19700,20050,452396
20100208,20100,20100,19100,19100,412495
20100209,19000,19450,18850,19100,330072
20100210,19400,19450,19050,19250,233552
20100211,19200,19700,19200,19450,229330
20100212,19500,19750,19200,19650,181244
20100216,19600,19750,19500,19600,92938
20100217,19900,20050,19700,19950,128674
20100218,20050,20150,19750,20150,124846
20100219,20000,20000,19350,19350,203157
20100222,19550,20000,19550,19950,139074
20100223,20050,20100,19750,20000,134615
20100224,19700,20250,19700,20050,122474
20100225,20250,20250,19600,19650,114030
20100226,19850,20050,19550,20000,90147
20100302,20050,20900,20050,20850,213945
20100303,20750,21150,20550,20800,142730
20100304,20800,20900,20450,20500,158478
20100305,20650,21500,20650,21500,374932
20100308,21900,21900,21450,21850,265915
20100309,21850,22400,21850,22250,533578
20100310,22300,22400,21900,21950,174009
20100311,22200,22200,21300,21750,440740
20100312,21750,22100,21550,21950,366106
20100315,22100,22200,21500,21800,131497
20100316,21800,21950,21650,21850,171966
20100317,22000,22400,21800,22200,268803
20100318,22050,22450,22000,22150,153683
20100319,22250,22300,21850,22100,149024
20100322,22250,22250,21150,21350,250539
20100323,21550,21600,21250,21250,222432
20100324,21550,22100,21450,21800,283735
20100325,21900,23100,21850,22950,827909
20100326,23150,23250,22700,23000,432832
20100329,22600,22950,22400,22950,335369
20100330,23100,23100,22100,22450,504260
20100331,22500,22850,22400,22700,264783
20100401,22700,22800,22500,22800,340590
20100402,22700,22850,22300,22400,402813
20100405,22450,22650,21900,22050,685534
20100406,22150,22400,22050,22150,299480
20100407,22150,22950,22150,22650,491553
20100408,22400,22600,22200,22550,259565
20100409,22550,22700,22200,22700,334162
20100412,22750,23250,22600,22800,497267
20100413,22800,22950,22350,22800,289759
20100414,23000,23250,22750,23200,351283
20100415,23500,24150,23400,24100,926881
20100416,24200,24200,23450,23750,389543
20100419,23200,23450,22850,23000,379923
20100420,23250,23550,23100,23300,255833
20100421,23300,23700,23150,23700,331501
20100422,23600,24250,23450,23800,505376
20100423,23950,23950,23300,23500,295558
20100426,23500,23700,23250,23350,248890
20100427,23350,23350,22600,22700,512022
20100428,22000,22600,21900,22350,445947
20100429,22300,22600,21800,22600,419830
20100430,22650,22850,22350,22450,332956
20100503,22450,22450,21800,22000,247527
20100504,22200,22250,21550,21600,313260
20100506,21200,21950,21100,21900,344929
20100507,21200,22500,21100,22400,293375
20100510,22250,22550,22150,22550,286544
20100511,22650,22700,22100,22650,224811
20100512,22600,22600,22050,22050,194845
20100513,22150,22300,21900,22000,295038
20100514,21700,22750,21500,22450,470668
20100517,22200,23200,22000,22700,547885
20100518,23000,23500,22100,22100,561987
20100519,21800,22350,21550,22050,241964
20100520,22150,22200,20500,21700,407770
20100524,21100,21450,20700,20800,388651
20100525,20450,20550,18850,19750,563039
20100526,19800,20400,19800,19900,349467
20100527,20000,20400,19700,20250,275251
20100528,20500,21000,20400,20700,217564
20100531,20550,21850,20550,21200,314124
20100601,21300,21700,20850,21150,131335
20100603,21450,21650,21200,21650,128976
20100604,21450,21650,21050,21600,236119
20100607,20800,21150,20750,21000,165613
