날짜,시가,고가,저가,현재가,거래량
20161004,6750,8000,6075,7475,9125792
20161005,7400,7750,7225,7550,2190538
20161006,7550,7975,7025,7650,1733596
20161007,7550,7750,7250,7250,670926
20161010,7200,8100,7150,7250,1194040
20161011,7275,7700,7200,7500,504850
20161012,7375,7700,7325,7650,312938
20161013,7650,7650,7400,7575,191294
20161014,7500,7800,7475,7750,193490
20161017,7700,7800,7250,7275,349518
20161018,7275,7450,6900,7350,335540
20161019,7300,7400,7075,7250,102750
20161020,7250,7900,7200,7350,1026036
20161021,7375,7700,7375,7700,332480
20161024,7650,7800,7600,7775,248456
20161025,7800,7800,7450,7550,131980
20161026,7625,7825,7525,7675,321130
20161027,7650,7900,7450,7750,260626
20161028,7625,7875,7525,7700,161462
20161031,7600,7725,7425,7500,82774
20161101,7575,7725,7375,7725,143490
20161102,7700,7825,7500,7575,189308
20161103,7475,7625,7275,7525,234574
20161104,7575,7575,7350,7350,67838
20161107,7400,7500,7325,7325,53902
20161108,7350,7500,7225,7450,135748
20161109,7475,7475,6900,7400,173674
20161110,7300,7375,6725,6800,671470
20161111,6900,6900,6525,6525,277386
20161114,6575,6850,6525,6750,382424
20161115,6900,7275,6750,7150,416916
20161116,7250,7575,7200,7375,337400
20161117,7325,7500,7300,7400,519518
20161118,7400,7450,7150,7250,166952
20161121,7250,7450,7175,7350,88952
20161122,7325,7500,7075,7225,203960
20161123,7175,7225,7100,7125,101920
20161124,7125,7300,7050,7125,51958
20161125,7225,7225,7050,7200,100986
20161128,7175,7525,7175,7450,97782
20161129,7450,7450,7200,7325,217726
20161130,7400,7500,7225,7500,66208
20161201,7525,7550,7125,7450,84550
20161202,7500,7500,7225,7225,36924
20161205,7250,7450,7125,7350,46508
20161206,7250,7475,7225,7275,19478
20161207,7225,7450,7150,7350,51806
20161208,7325,7525,7275,7425,57124
20161209,7550,8300,7475,7625,617870
20161212,7750,7825,7550,7725,135868
20161213,7600,7750,7400,7700,1568144
20161214,7700,7700,7475,7550,242110
20161215,7525,7550,7300,7350,340750
20161216,7350,7425,7250,7375,98848
20161219,7350,7425,7125,7400,171352
20161220,7275,7450,7275,7350,97624
20161221,7300,7450,7250,7425,90718
20161222,7425,7475,7300,7475,62938
20161223,7450,7550,7375,7450,100760
20161226,7400,7600,7325,7600,93930
20161227,7475,7600,7450,7525,70066
20161228,7425,7650,7425,7575,112296
20161229,7575,7700,7500,7650,78500
20170102,7650,7650,7450,7600,50808
20170103,7525,7775,7525,7650,86984
20170104,7625,7725,7525,7650,115316
20170105,7575,7600,7500,7500,94274
20170106,7500,7500,7275,7300,95232
20170109,7250,7325,7225,7275,73526
20170110,7250,7325,7050,7175,125628
20170111,7100,7150,6950,7000,205202
20170112,6950,7075,6650,6850,264988
20170113,6850,7100,6750,6900,201510
20170116,6900,7025,6800,6825,72670
20170117,6850,7250,6825,7100,231060
20170118,7100,7475,7100,7375,603194
20170119,7350,7400,7225,7250,137990
20170120,7250,7475,7175,7350,232440
20170123,7300,7475,7150,7350,144500
20170124,7350,7475,7175,7200,129534
20170125,7200,7450,7200,7375,125812
20170126,7500,7550,7225,7500,201998
20170131,7500,7500,7000,7300,566166
20170201,7300,7725,7250,7700,682510
20170202,7700,7725,7500,7575,318080
20170203,7500,7825,7400,7800,438210
20170206,7675,8275,7550,8100,765694
20170207,8000,8050,7625,7825,325076
20170208,7825,8100,7700,7975,552868
20170209,7875,8075,7750,8025,277140
20170210,8025,8425,7925,8250,646450
20170213,8250,8350,7950,8275,204758
20170214,8250,8550,8125,8225,281998
20170215,8225,8400,7925,8000,244256
20170216,8025,8050,7725,7800,244928
20170217,7800,8175,7775,8050,146652
20170220,8200,8250,7875,8075,163150
20170221,8000,8375,8000,8225,187570
20170222,8325,8600,8250,8425,226392
20170223,8525,8575,8350,8425,186928
20170224,8400,8550,7950,7950,180062
20170227,7950,8225,7750,8100,94898
20170228,8400,8450,8100,8300,452746
20170302,8475,8475,8175,8300,103842
20170303,8275,8325,7950,8125,161210
20170306,8125,8400,7900,8275,159084
20170307,8250,8500,8050,8450,156272
20170308,8425,8425,8200,8400,88706
20170309,8700,9100,8525,8625,420292
20170310,8625,9125,8400,8900,483130
20170313,8975,9125,8525,8875,563150
20170314,8950,9000,8600,8725,221792
20170315,8700,8700,8400,8625,288272
20170316,8650,9025,8525,8800,298924
20170317,8800,8950,8775,8825,133996
20170320,8775,9000,8675,8775,182868
20170321,8775,8900,8600,8775,187070
20170322,8675,9100,8675,9050,225318
20170323,8925,9475,8925,9475,451454
20170324,9475,9750,9125,9650,266010
20170327,9500,9950,9275,9275,275284
20170328,9400,9475,9000,9375,201932
20170329,9450,9450,9225,9375,167344
20170330,9425,9425,9100,9125,76906
20170331,9050,9175,8900,9025,103696
20170403,9075,9075,8675,8950,230572
20170404,8800,8950,8650,8700,121180
20170405,8750,8900,8625,8750,148460
20170406,8800,8825,8575,8800,70744
20170407,8925,9000,8700,8850,106414
20170410,8900,8900,8600,8600,68902
20170411,8600,8800,8550,8700,118430
20170412,8650,8750,8475,8675,87658
20170413,8675,8900,8500,8650,159058
20170414,8675,8875,8525,8650,67380
20170417,8750,9075,8700,8875,116586
20170418,9000,9475,8800,9450,425654
20170419,9325,9475,9100,9125,860958
20170420,9075,9250,8975,8975,85084
20170421,9000,9175,8825,9025,135780
20170424,8950,9075,8750,8800,121134
