날짜,시가,고가,저가,현재가,거래량
20080102,34265,34324,33200,33318,370821
20080103,32549,34916,32549,34679,301654
20080104,34324,35212,33555,35035,263396
20080107,34029,34620,33792,33969,211473
20080108,34147,35094,33555,34265,200305
20080109,33673,34739,33496,34739,208928
20080110,35035,36751,34561,36573,576429
20080111,36988,37165,35567,36100,600660
20080114,36041,36396,34206,34916,453758
20080115,34916,35981,32667,33851,234714
20080116,33200,34502,32667,33437,205312
20080117,33910,34265,31543,32667,420981
20080118,31720,32608,30063,32016,590697
20080121,31957,32253,28850,29560,869432
20080122,27874,29353,27282,28998,453193
20080123,29353,29827,27815,28998,542396
20080124,29472,30833,29294,30537,692705
20080125,30951,32845,30951,32845,629741
20080128,32135,33200,30833,32135,282615
20080129,33141,33496,32135,32549,265351
20080130,32786,33141,29265,30359,474212
20080131,29649,31425,28761,31425,603982
20080201,31247,32312,30892,31070,326944
20080204,31188,32549,31188,32016,430873
20080205,31957,32904,31661,32904,249868
20080211,31661,32016,31365,32016,205750
20080212,32016,32253,31425,31898,210870
20080213,32076,32431,30774,30951,261436
20080214,31129,31839,30537,31543,664366
20080215,31070,32786,30655,32490,506461
20080218,32963,33496,32490,33259,552059
20080219,33733,35567,33496,35390,760043
20080220,34916,35981,34147,34857,553955
20080221,35508,35745,34147,34798,398952
20080222,34679,35271,34265,35094,246456
20080225,34739,35449,33910,34857,411201
20080226,35212,35390,33792,34857,443315
20080227,35449,37224,34620,36751,775726
20080228,36751,37283,36277,37165,364736
20080229,36751,37461,36514,37283,276900
20080303,36100,36277,35094,35922,319927
20080304,36041,36100,35094,35567,208538
20080305,35567,37283,35508,36514,375074
20080306,36869,39236,36751,38704,811226
20080307,38053,39591,37757,38585,571316
20080310,37638,38171,36218,37224,503737
20080311,36692,38467,36455,37875,362551
20080312,39236,39710,38585,39296,579858
20080313,39296,39473,36810,38171,563832
20080314,38763,39000,36573,37934,399729
20080317,37757,37757,36337,37520,281192
20080318,37934,38112,36455,38112,287750
20080319,38822,39000,37579,38171,274959
20080320,37875,38763,37402,38467,218925
20080321,38704,39473,38230,39059,274493
20080324,39355,40242,38349,38822,350513
20080325,39059,39236,37875,38585,362886
20080326,38408,39532,38171,38763,200403
20080327,38645,40124,38526,39947,260770
20080328,39651,40834,39414,40657,343046
20080331,40834,40834,39118,39591,489550
20080401,39355,39887,37994,38171,576975
20080402,38526,38645,35922,36928,1207794
20080403,36692,37520,36277,36988,609575
20080404,37343,38112,37283,37638,441860
20080407,37638,38881,37224,38704,349095
20080408,38585,38585,37343,37343,550239
20080410,36810,39059,36632,39059,807642
20080411,39000,39355,38230,39355,338300
20080414,38585,38585,34975,35626,1234859
20080415,34916,36159,33378,35686,963631
20080416,35745,37165,35508,36692,314062
20080417,37165,37165,35567,36692,456990
20080418,36396,36751,35981,36455,265670
20080421,36573,36632,35804,35804,450667
20080422,35508,36455,35508,36455,311703
20080423,36218,38585,36100,38289,543840
20080424,37934,38171,37283,38112,244297
20080425,37875,38585,37224,37343,267563
20080428,37165,38053,36100,36573,331740
20080429,36218,36692,36100,36692,148144
20080430,36810,36988,35804,36928,251706
20080502,36988,38645,36632,38112,408823
20080506,38349,39651,38171,39651,398502
20080507,39651,40302,39000,39651,358526
20080508,39118,40834,38822,40242,331155
20080509,40302,40302,38881,39414,341101
20080513,39177,40124,38704,39947,225525
20080514,39947,40657,39177,39828,175452
20080515,40183,41663,39887,41367,461517
20080516,42195,42491,41071,42077,403986
20080519,42077,43083,41544,43083,271503
20080520,43201,43201,41959,42610,243347
20080521,41959,43142,41781,43083,342875
20080522,42669,43616,41781,43201,306426
20080523,43261,43616,42432,43497,328232
20080526,42787,43497,42077,43024,245922
20080527,42669,43852,42669,43201,334981
20080528,43497,43556,42077,42373,256786
20080529,42373,44326,42373,44089,430260
20080530,44503,47640,44089,46634,854636
20080602,47226,47226,45687,46811,414542
20080603,46338,47522,45036,45569,686735
20080604,45865,46634,45509,45628,416468
20080605,45332,47344,45154,46930,416718
20080609,45983,47581,45805,47462,317456
20080610,47522,48646,46397,46871,342718
20080611,47344,47344,44267,46160,848862
20080612,45569,46042,45036,45391,411267
20080613,45628,46160,44918,45154,254366
20080616,45450,45865,44858,45273,332627
20080617,45391,45746,42491,44799,635757
20080618,44444,45865,44089,45391,205152
20080619,45391,46575,44977,45628,474815
20080620,46160,47166,46042,46515,424771
20080623,46279,48054,46160,47403,531601
20080624,47462,47877,46338,46752,405615
20080625,46989,47166,45983,47048,388222
20080626,47344,47344,44799,45628,647534
20080627,44326,44858,42846,44267,609761
20080630,44207,44267,43379,44030,233132
20080701,43616,44444,42373,42906,284888
20080702,42669,42906,37757,38526,1201449
20080703,38053,40657,37402,39355,751468
20080704,39355,40124,37698,38408,428589
20080707,37934,39059,36100,37402,603631
20080708,37224,38053,36218,37047,382958
20080709,37994,40183,37698,38881,513779
20080710,38881,41722,38585,41722,562365
20080711,41899,42846,41130,42255,490153
20080714,42432,43556,41485,41840,323099
20080715,41722,42018,39473,40183,336544
20080716,40242,41604,39710,40538,479330
20080717,41722,41722,40242,41248,380368
20080718,41426,41544,39532,40065,425429
20080721,40242,41722,40242,41248,322360
20080722,40953,42669,40834,41544,189788
20080723,42491,42728,41722,42728,260439
20080724,42728,43971,42610,43320,332370
20080725,42787,44503,42787,43675,332083
20080728,44385,45036,43852,44563,371314
20080729,44267,45154,43556,45036,278683
20080730,45628,46042,44799,45569,352443
20080731,46042,46279,44622,44918,281431
20080801,45273,45509,44503,44503,170505
20080804,44326,44681,43438,44267,180278
20080805,44267,45746,44030,44622,337742
20080806,45746,46752,44977,46456,311120
20080807,46693,46693,44563,45450,322703
20080808,44681,45924,44563,45450,307338
20080811,46338,46752,45746,45746,233276
20080812,45746,45746,44385,44681,315990
20080813,44681,45273,42255,42846,602122
20080814,42314,44622,42195,43734,318421
20080818,44089,44918,43852,44799,182690
20080819,44385,44977,43793,44207,184553
20080820,44089,44740,43497,44385,185398
20080821,44918,44918,43497,44326,126459
20080822,44326,44326,41485,43912,336378
20080825,43793,44267,42432,42728,241220
20080826,41663,43793,41544,43793,210141
20080827,44207,44207,42610,43793,202541
20080828,44385,44503,42787,42906,164923
20080829,43497,43793,42669,43616,207421
20080901,42728,43556,41248,41308,274325
20080902,41781,42195,37875,40006,581603
20080903,40834,41130,39236,41130,293278
20080904,41367,43083,40006,43083,255427
20080905,41604,42728,40953,41663,300147
20080908,41840,43616,41840,43142,393969
