날짜,시가,고가,저가,현재가,거래량
20080102,4897,5122,4799,4799,1506855
20080103,4799,4916,4710,4897,659306
20080104,4906,4965,4803,4936,576544
20080107,4848,5092,4799,5092,844048
20080108,5102,5151,4985,5034,926585
20080109,4985,5053,4897,5053,793704
20080110,5043,5220,4945,4994,1056967
20080111,5043,5073,4740,4759,652099
20080114,4730,4779,4407,4544,722724
20080115,4652,4730,4358,4436,699577
20080116,4240,4402,4231,4260,603940
20080117,4270,4387,4162,4309,504427
20080118,4172,4451,4172,4387,488399
20080121,4338,4417,4255,4260,395392
20080122,4123,4162,3756,3883,960008
20080123,4005,4059,3849,3907,541383
20080124,4064,4373,3976,4275,1385964
20080125,4368,4368,4128,4221,554139
20080128,4211,4270,4015,4015,614284
20080129,4147,4177,3986,4133,520945
20080130,4133,4162,3868,3996,505590
20080131,4103,4103,3829,4093,491915
20080201,4093,4157,3937,3937,564032
20080204,4162,4446,4133,4147,1229848
20080205,4138,4182,4045,4113,327885
20080211,4064,4098,3981,4005,223369
20080212,4005,4138,3981,4010,573774
20080213,4103,4103,4005,4040,513120
20080214,4089,4157,4054,4152,609206
20080215,4113,4216,4045,4191,498110
20080218,4289,4613,4289,4338,1713304
20080219,4407,4407,4240,4289,546118
20080220,4289,4392,4133,4157,608651
20080221,4211,4358,4167,4240,715714
20080222,4196,4348,4172,4319,838083
20080225,4368,4436,4299,4338,947691
20080226,4368,4377,4211,4216,569728
20080227,4231,4270,4177,4182,386248
20080228,4196,4250,4167,4250,334594
20080229,4231,4245,4103,4103,515115
20080303,4015,4045,3927,3976,694841
20080304,4005,4084,3966,4025,484791
20080305,4040,4309,4015,4064,1254609
20080306,4113,4333,4103,4191,1884513
20080307,4113,4172,4064,4069,497423
20080310,3976,4054,3888,3898,617346
20080311,3829,4123,3790,3971,925503
20080312,4064,4226,4005,4015,1105259
20080313,4015,4093,3907,3917,390931
20080314,4030,4030,3800,3809,398701
20080317,3746,3780,3530,3623,626591
20080318,3653,3672,3589,3614,230922
20080319,3721,3731,3663,3677,301472
20080320,3574,3653,3574,3614,250453
20080321,3648,3702,3648,3682,271582
20080324,3731,3746,3663,3682,263555
20080325,3746,3746,3653,3653,354937
20080326,3692,3712,3619,3648,335447
20080327,3672,3672,3550,3570,399359
20080328,3555,3565,3398,3525,599445
20080331,3516,4049,3516,3858,2089920
20080401,3888,3956,3721,3770,754188
20080402,3868,4035,3765,3819,1039395
20080403,3829,3863,3761,3761,363577
20080404,3785,3819,3672,3692,346700
20080407,3716,3849,3697,3839,572202
20080408,3790,3829,3702,3721,460354
20080410,3721,3863,3672,3829,511620
20080411,3834,3863,3741,3834,277896
20080414,3741,3893,3741,3770,452625
20080415,3746,3814,3731,3731,289441
20080416,3770,3907,3751,3888,780231
20080417,3917,3937,3775,3780,803509
20080418,3770,3809,3677,3687,547952
20080421,3721,3741,3633,3687,430804
20080422,3672,3721,3663,3667,339936
20080423,3667,3667,3599,3614,615152
20080424,3643,3653,3594,3604,344586
20080425,3623,3682,3599,3604,292047
20080428,3604,3653,3594,3594,252360
20080429,3584,3633,3467,3481,466326
20080430,3491,3516,3398,3408,475243
20080502,3428,3462,3403,3418,359688
20080506,3442,3550,3442,3511,345846
20080507,3525,3525,3418,3432,402837
20080508,3374,3481,3374,3428,253935
20080509,3437,3462,3413,3432,263638
20080513,3462,3574,3457,3535,448475
20080514,3579,3653,3516,3623,592455
20080515,3687,3765,3643,3653,1252006
20080516,3692,3712,3584,3628,517654
20080519,3633,3702,3623,3672,337132
20080520,3653,3741,3643,3672,323378
20080521,3609,3672,3574,3584,246798
20080522,3535,3550,3457,3535,343014
20080523,3545,3951,3540,3898,2056836
20080526,3927,4103,3819,4005,2168781
20080527,4005,4103,3888,3986,1214230
20080528,3986,4265,3971,4211,2599818
20080529,4280,4353,4113,4201,1626545
20080530,4231,4304,4128,4294,1075316
20080602,4304,4490,4240,4348,1608744
20080603,4348,4588,4309,4583,1806168
20080604,4622,4877,4475,4485,2727476
20080605,4573,4735,4573,4730,2419069
20080609,4681,4848,4622,4799,1652298
20080610,4877,4877,4515,4559,1687313
20080611,4661,5239,4652,5239,3841228
20080612,5200,5523,4897,4897,7949772
20080613,4975,4975,4182,4270,4296809
