날짜,시가,고가,저가,현재가,거래량
20080102,11431,12064,11220,11310,210247
20080103,11280,11642,11220,11461,143755
20080104,11491,11914,11341,11823,142092
20080107,11582,11944,11521,11642,111486
20080108,11582,11763,11461,11582,99449
20080109,11280,11642,11160,11642,109419
20080110,11612,12909,11612,12698,417200
20080111,12939,13210,12517,13150,507930
20080114,12879,13452,12698,13452,602620
20080115,13090,13572,12456,12607,267190
20080116,12366,12456,11341,11371,289148
20080117,11672,12185,11341,11582,289696
20080118,11220,12155,11160,12095,167914
20080121,12004,12215,11521,11672,130534
20080122,11310,11733,11099,11250,194904
20080123,11521,11702,11069,11371,112496
20080124,11612,11914,11521,11793,178459
20080125,12034,12336,11974,12034,155958
20080128,12034,12034,11129,11250,175211
20080129,11521,11612,11190,11401,168467
20080130,11521,11521,10979,10979,185400
20080131,11160,11401,10979,11280,163008
20080201,11341,11702,11190,11642,153466
20080204,11642,12064,11642,11853,167539
20080205,11763,12034,11642,11702,94390
20080211,11341,11883,11250,11461,119666
20080212,11521,11823,11371,11491,156963
20080213,11672,12275,11672,11883,254907
20080214,12185,12275,11914,12185,134413
20080215,12125,12155,11944,12064,128792
20080218,12245,12456,11974,12034,187747
20080219,12185,12215,11883,11974,132363
20080220,11974,12698,11974,12547,413289
20080221,12758,12788,12426,12547,208708
20080222,12426,12547,12215,12396,101818
20080225,12306,12637,12245,12366,259640
20080226,12547,12547,12185,12426,148793
20080227,12456,12999,12456,12818,276591
20080228,12879,14417,12818,14145,1997341
20080229,13995,14357,13603,14296,435921
20080303,13934,14538,13693,14206,407354
20080304,14357,14447,13784,14055,241332
20080305,14176,14326,13180,13452,705179
20080306,13572,14507,13572,14357,801853
20080307,14145,14236,13452,13572,768519
20080310,13150,13633,13060,13301,441160
20080311,12999,13482,12969,13271,201951
20080312,13633,13874,13391,13663,324300
20080313,13572,14206,13180,13331,853538
20080314,13603,13633,12668,12969,244601
20080317,12969,12999,12245,12969,231234
20080318,12969,13391,12969,13271,313932
20080319,13633,13934,13512,13753,427458
20080320,13693,13934,13572,13814,382654
20080321,13995,14085,13542,13603,128147
20080324,13542,13844,13512,13663,129937
20080325,13874,13904,13361,13361,197076
20080326,13391,13512,13090,13271,142941
20080327,13150,13844,13150,13814,356761
20080328,13814,14055,13663,13904,199685
20080331,14055,14055,13572,13663,127060
20080401,13663,13784,13210,13452,206295
20080402,13542,13542,13090,13210,174444
20080403,13271,13391,12939,13210,209030
20080404,13210,13210,12668,12969,194689
20080407,12969,13271,12939,13150,145468
20080408,13060,13331,12969,13090,75073
20080410,13210,13210,12818,13060,112297
20080411,13060,13120,12728,12909,129177
20080414,12879,12879,12456,12577,115745
20080415,12487,12728,12245,12306,153133
20080416,12306,12788,12306,12607,123296
20080417,12698,12788,12275,12366,153720
20080418,12245,12517,12245,12426,66199
20080421,12487,12607,12245,12336,152402
20080422,12275,12426,12215,12245,109338
20080423,12336,12607,12306,12366,203524
20080424,12396,12577,11853,12064,277521
20080425,12155,12245,11763,11853,255225
20080428,11853,12185,11702,12155,254614
20080429,12095,12185,11612,11702,155595
20080430,11702,12125,11371,12095,205928
20080502,12125,12939,12095,12306,368959
20080506,12366,12426,12064,12306,114263
20080507,12306,12306,11823,12004,224048
20080508,11763,11944,11642,11642,255643
20080509,11702,11793,11491,11672,117519
20080513,11582,11974,11582,11974,113900
20080514,11853,12004,11672,11733,85524
20080515,11672,11883,11672,11853,161268
20080516,11944,12788,11853,12788,462827
20080519,12818,12849,12487,12668,212932
20080520,12698,13361,12637,13271,407779
20080521,13060,14387,13030,14025,1090318
20080522,14025,14628,13603,14176,860653
20080523,14326,14839,13965,14658,642357
20080526,14507,14719,14387,14628,250653
20080527,14568,15020,14236,14538,389426
20080528,14538,14960,14326,14899,399505
20080529,14899,15503,14899,15473,731361
20080530,15623,15865,15201,15774,569006
20080602,15593,15985,15382,15955,527822
20080603,15654,16106,15593,15834,992519
20080604,15804,16166,15382,16015,483096
20080605,15895,16709,15834,16227,585121
20080609,16046,16408,15774,16166,313057
20080610,16106,16106,15382,15684,653501
20080611,15623,16377,15623,16227,429459
20080612,16106,16196,15684,15955,290680
20080613,15865,16287,15382,16106,367812
20080616,16106,16287,15654,15985,220353
20080617,16046,16347,15442,15442,682981
20080618,15744,15985,15412,15804,396678
20080619,15744,15744,15020,15231,287683
20080620,15111,15261,14688,15201,338950
20080623,14930,15261,14839,15111,137417
20080624,14960,15714,14960,15714,275601
20080625,15744,15865,15292,15412,192666
20080626,15292,15623,15171,15503,137870
20080627,15080,15623,14960,14960,180443
20080630,14899,15020,14206,14538,283263
20080701,14507,14719,13814,14296,257221
20080702,14417,14447,13603,13693,203392
20080703,13391,13512,12849,13271,434335
20080704,13120,13391,12939,13030,152667
20080707,13030,13482,12366,12547,398545
20080708,12547,12698,11341,11914,454574
20080709,12034,12547,12034,12547,889263
20080710,12245,13331,11944,13180,696997
20080711,13120,13723,13120,13603,260452
20080714,13633,14085,13301,13874,312256
20080715,13995,14085,13391,13844,319792
20080716,13995,14115,13482,13874,181405
20080717,14266,14507,14085,14266,237655
20080718,14538,14538,13934,13934,150366
20080721,13995,14296,13814,13814,256490
20080722,13874,14477,13512,14477,545618
20080723,14658,14658,13965,14417,515879
20080724,14417,14869,14357,14839,300862
20080725,14507,14839,14477,14719,119997
20080728,14779,15322,14779,15201,233165
20080729,15020,15382,14658,15050,275439
20080730,15322,15322,14417,14899,293707
20080731,14899,15020,14507,14749,222589
20080801,14507,14688,12547,12547,721164
20080804,12999,13814,12849,13391,994831
20080805,13572,13784,13331,13512,314370
20080806,13603,14025,13603,13874,201908
20080807,14025,14025,13482,13874,205796
20080808,13572,14176,13542,13874,134355
20080811,13965,13965,13331,13331,222406
20080812,13210,13210,12366,12909,358452
20080813,13060,13150,12728,12909,125311
20080814,12818,13572,12818,13361,146771
20080818,13874,14085,13572,13814,223401
20080819,13844,13844,13331,13331,98733
20080820,13060,13874,13030,13030,242842
20080821,12879,13030,12456,12668,188863
20080822,12909,12909,12215,12426,133684
20080825,12366,12788,12366,12698,77384
20080826,12517,13422,12275,13301,125476
20080827,12909,13542,12909,13542,132540
20080828,13542,13542,12999,12999,114719
20080829,13120,13361,12939,12939,68381
20080901,12818,12909,11823,11974,205268
20080902,11733,12577,11733,12426,179851
20080903,12426,12637,12064,12064,199108
20080904,12064,12336,11793,12004,151843
20080905,12004,12366,11944,12064,164789
20080908,12215,12788,12064,12668,254120
20080909,12577,12668,12095,12095,176670
20080910,12064,12487,11944,12366,135025
20080911,12275,13210,12245,12849,420509
20080912,13271,13542,13150,13391,267501
20080916,12306,12849,12245,12607,215595
20080917,12879,13603,12728,13301,492930
20080918,13090,13934,12818,13693,426694
20080919,14357,14387,13995,14236,486884
20080922,13603,14055,13482,13542,469044
20080923,13512,13995,13422,13934,177481
20080924,13874,14598,13693,14477,292156
20080925,14507,14779,14085,14719,572194
20080926,14719,14869,14387,14779,261537
20080929,14538,15050,14296,14417,250189
20080930,13693,14719,13603,14477,214764
20081001,14507,14658,14085,14357,216566
20081002,14477,14568,14055,14326,214111
20081006,14206,14206,13572,13572,146164
20081007,13271,13572,12668,13150,218613
20081008,12668,13422,12547,12969,316210
20081009,12758,13241,12547,13090,190287
20081010,12698,12788,11763,12095,294939
20081013,12366,13633,12366,13633,271745
