"","cat1","cat2","val"
"1","BGF리테일","맥쿼리인프라",-0.357634287522366
"2","BGF리테일","메리츠화재",-0.319174088515861
"3","BGF리테일","한온시스템",-0.220857000062896
"4","BNK금융지주","CJ대한통운",-0.247755277460662
"5","BNK금융지주","LG생활건강",-0.301298800914712
"6","BNK금융지주","동원산업",-0.237002670254191
"7","BNK금융지주","롯데제과",-0.228166815841568
"8","BNK금융지주","카카오",-0.274201977119954
"9","BNK금융지주","하이트진로",-0.271981415310471
"10","BNK금융지주","현대오토에버",-0.229273578307711
"11","CJ","하이트진로",-0.384521419267287
"12","CJ CGV","GS리테일",-0.202947811382721
"13","CJ CGV","HDC현대산업개발",-0.289001414370818
"14","CJ CGV","KT&G",-0.268438035175469
"15","CJ CGV","메리츠화재",-0.283013354264917
"16","CJ CGV","아시아나항공",-0.259689341318368
"17","CJ CGV","에스엘",-0.269964672186751
"18","CJ CGV","태영건설",-0.335880735823353
"19","CJ대한통운","BNK금융지주",-0.247755277460662
"20","CJ대한통운","JB금융지주",-0.279382632282862
"21","CJ대한통운","KT&G",-0.24355598842483
"22","CJ대한통운","SK가스",-0.220837337848986
"23","CJ대한통운","기업은행",-0.303774274769781
"24","CJ대한통운","맥쿼리인프라",-0.291668593839132
"25","CJ대한통운","메리츠화재",-0.349609968671017
"26","CJ대한통운","부광약품",-0.203731462320116
"27","CJ대한통운","삼성카드",-0.286266395731121
"28","CJ대한통운","우리금융지주",-0.236839365644731
"29","CJ대한통운","포스코인터내셔널",-0.290052092509345
"30","CJ대한통운","한국전력",-0.228970104980381
"31","CJ대한통운","한미사이언스",-0.23474716121341
"32","CJ대한통운","한미약품",-0.321063163931524
"33","CJ대한통운","현대중공업지주",-0.294958400850497
"34","CJ대한통운","현대차우",-0.330871763056602
"35","CJ대한통운","현대해상",-0.209817022699931
"36","CJ대한통운","효성",-0.354591066442877
"37","CJ대한통운","휴켐스",-0.270261405589365
"38","CJ제일제당","GS리테일",-0.302152691060783
"39","CJ제일제당","NAVER",-0.254498498486436
"40","CJ제일제당","메리츠화재",-0.200721648795012
"41","CJ제일제당","삼성카드",-0.249844463339337
"42","CJ제일제당","웅진코웨이",-0.227455833493934
"43","CJ제일제당","한미사이언스",-0.218664789490288
"44","CJ제일제당","한미약품",-0.394777612621776
"45","CJ제일제당","한온시스템",-0.224146252272176
"46","CJ제일제당","현대중공업지주",-0.298059558971007
"47","CJ제일제당","현대차우",-0.372691034718903
"48","CJ제일제당","휴켐스",-0.245893078530789
"49","DB손해보험","NAVER",-0.241448710348208
"50","DB손해보험","넥센타이어",-0.245176182010661
"51","DB손해보험","대웅",-0.206449217149733
"52","DB손해보험","이마트",-0.219987785814916
"53","DB손해보험","태광산업",-0.223414958363769
"54","DB손해보험","태영건설",-0.308562598892559
"55","DB손해보험","한국전력",-0.320000042850143
"56","DB손해보험","현대상선",-0.210196609491998
"57","DB하이텍","KB금융",-0.285117355728888
"58","DB하이텍","넥센타이어",-0.255397442806501
"59","DB하이텍","동아에스티",-0.209744744693739
"60","DB하이텍","맥쿼리인프라",-0.355871152539034
"61","DB하이텍","현대그린푸드",-0.398167860605583
"62","DB하이텍","현대홈쇼핑",-0.395167856511399
"63","DGB금융지주","LG생활건강",-0.277972288448739
"64","DGB금융지주","LG이노텍",-0.244129338864142
"65","DGB금융지주","NAVER",-0.313135471257198
"66","DGB금융지주","삼성SDI",-0.261154634552185
"67","DGB금융지주","이마트",-0.24811092801893
"68","DGB금융지주","카카오",-0.339945461796629
"69","DGB금융지주","하이트진로",-0.290275853318119
"70","F&F","GKL",-0.223574248908973
"71","F&F","JB금융지주",-0.205889545456516
"72","F&F","KB금융",-0.336657853234438
"73","F&F","NAVER",-0.330065446600395
"74","F&F","SK케미칼",-0.340958368319812
"75","F&F","SPC삼립",-0.248360835464158
"76","F&F","기업은행",-0.245257360991162
"77","F&F","롯데쇼핑",-0.251660350149819
"78","F&F","맥쿼리인프라",-0.356771327656911
"79","F&F","삼성카드",-0.383869477393967
"80","F&F","신한지주",-0.247962542224405
"81","F&F","쌍용양회",-0.225895740479572
"82","F&F","아모레G",-0.204428721216453
"83","F&F","영진약품",-0.250967549239075
"84","F&F","오리온",-0.348768786058216
"85","F&F","이마트",-0.220305070680119
"86","F&F","한국가스공사",-0.221390493886951
"87","F&F","한국타이어앤테크놀로지",-0.213129931707809
"88","F&F","한미사이언스",-0.257771229445906
"89","F&F","한미약품",-0.236683066926798
"90","F&F","현대해상",-0.217039553295193
"91","GKL","F&F",-0.223574248908973
"92","GKL","롯데관광개발",-0.209974600063014
"93","GKL","롯데리츠",-0.246000116521815
"94","GKL","하이트진로",-0.315751834729903
"95","GS","하이트진로",-0.275026659510455
"96","GS","한국전력",-0.204902169470496
"97","GS","현대상선",-0.222048206760178
"98","GS건설","NAVER",-0.322703826099746
"99","GS리테일","CJ CGV",-0.202947811382721
"100","GS리테일","CJ제일제당",-0.302152691060783
"101","GS리테일","NAVER",-0.228776638581634
"102","GS리테일","SKC",-0.386918503793454
"103","GS리테일","SK케미칼",-0.204010417001253
"104","GS리테일","녹십자홀딩스",-0.314530437378403
"105","GS리테일","동원F&B",-0.213257483750909
"106","GS리테일","삼성엔지니어링",-0.205843705429719
"107","GS리테일","이마트",-0.205131540564963
"108","GS리테일","한국테크놀로지그룹",-0.213524562996236
"109","GS리테일","한섬",-0.221892489619377
"110","HDC현대산업개발","CJ CGV",-0.289001414370818
"111","HDC현대산업개발","만도",-0.209850579485222
"112","HDC현대산업개발","오리온",-0.234918056882142
"113","HDC현대산업개발","현대그린푸드",-0.208612897378343
"114","HDC현대산업개발","화승엔터프라이즈",-0.2104710166492
"115","JB금융지주","CJ대한통운",-0.279382632282862
"116","JB금융지주","F&F",-0.205889545456516
"117","JB금융지주","NAVER",-0.209511271858129
"118","JB금융지주","금호타이어",-0.239731190646827
"119","JB금융지주","락앤락",-0.217210561860674
"120","JB금융지주","삼성SDI",-0.319698804443157
"121","JB금융지주","삼성바이오로직스",-0.227769838368299
"122","JB금융지주","아이에스동서",-0.28465781916636
"123","JB금융지주","영진약품",-0.25503500886308
"124","JB금융지주","카카오",-0.220585709698262
"125","JB금융지주","하이트진로",-0.298223700905612
"126","JB금융지주","한올바이오파마",-0.258746073594152
"127","JB금융지주","현대그린푸드",-0.290834279304435
"128","JB금융지주","현대홈쇼핑",-0.226714269440977
"129","KB금융","DB하이텍",-0.285117355728888
"130","KB금융","F&F",-0.336657853234438
"131","KB금융","LG생활건강",-0.304889899321415
"132","KB금융","LG이노텍",-0.39574146580182
"133","KB금융","SKC",-0.377565249688139
"134","KB금융","녹십자",-0.216035222479811
"135","KB금융","대우조선해양",-0.213574904734868
"136","KB금융","더블유게임즈",-0.220978107669309
"137","KB금융","더존비즈온",-0.358908051434953
"138","KB금융","동부제철",-0.206065312390432
"139","KB금융","동아에스티",-0.233607185058304
"140","KB금융","동원산업",-0.208860501285934
"141","KB금융","락앤락",-0.359455776648209
