"","cat1","cat2","val"
"1","CJ","메리츠화재",-0.417956101718458
"2","CJ대한통운","DGB금융지주",-0.421016733803953
"3","CJ대한통운","현대차2우B",-0.541295672120741
"4","CJ제일제당","한국전력",-0.518435964381857
"5","CJ제일제당","현대차2우B",-0.516644423712031
"6","DGB금융지주","CJ대한통운",-0.421016733803953
"7","F&F","삼성생명",-0.401637139262724
"8","HDC현대산업개발","NAVER",-0.419206950423178
"9","HDC현대산업개발","이마트",-0.468053211799992
"10","HDC현대산업개발","한국전력",-0.455945026648318
"11","KB금융","삼성SDI",-0.434264608760595
"12","KT&G","삼성SDI",-0.400048792447719
"13","KT&G","한올바이오파마",-0.517671245761379
"14","KT&G","한화에어로스페이스",-0.453718610430932
"15","NAVER","HDC현대산업개발",-0.419206950423178
"16","NAVER","메리츠화재",-0.409737584819903
"17","NAVER","아시아나항공",-0.405020191038724
"18","NHN","휴켐스",-0.448476609675063
"19","NICE","휴켐스",-0.478901966758956
"20","POSCO","하이트진로",-0.542570531346477
"21","금호타이어","메리츠화재",-0.488953256848741
"22","넥센타이어","쿠쿠홈시스",-0.409501616099092
"23","다우기술","에스원",-0.403704428114724
"24","대웅","메리츠화재",-0.503380662967163
"25","롯데관광개발","휴켐스",-0.525897683519009
"26","롯데리츠","한국타이어앤테크놀로지",-0.449142509264285
"27","맥쿼리인프라","카카오",-0.432968098367804
"28","메리츠금융지주","엔씨소프트",-0.432436468904464
"29","메리츠금융지주","카카오",-0.45762793786822
"30","메리츠종금증권","엔씨소프트",-0.503385983750445
"31","메리츠화재","CJ",-0.417956101718458
"32","메리츠화재","NAVER",-0.409737584819903
"33","메리츠화재","금호타이어",-0.488953256848741
"34","메리츠화재","대웅",-0.503380662967163
"35","메리츠화재","삼성SDI",-0.480914261726644
"36","메리츠화재","카카오",-0.409873970304573
"37","메리츠화재","한국항공우주",-0.468100257410868
"38","메리츠화재","한올바이오파마",-0.491095276791368
"39","메리츠화재","호텔신라",-0.414190032173473
"40","삼성SDI","KB금융",-0.434264608760595
"41","삼성SDI","KT&G",-0.400048792447719
"42","삼성SDI","메리츠화재",-0.480914261726644
"43","삼성SDI","오렌지라이프",-0.401957031503688
"44","삼성SDI","현대차2우B",-0.40922480532531
"45","삼성SDI","현대차우",-0.424444262017572
"46","삼성생명","F&F",-0.401637139262724
"47","삼성화재","한국전력",-0.444214395343622
"48","아시아나항공","NAVER",-0.405020191038724
"49","아이에스동서","한전KPS",-0.424033860354914
"50","에스원","다우기술",-0.403704428114724
"51","엔씨소프트","메리츠금융지주",-0.432436468904464
"52","엔씨소프트","메리츠종금증권",-0.503385983750445
"53","엔씨소프트","현대홈쇼핑",-0.487458693115533
"54","오렌지라이프","삼성SDI",-0.401957031503688
"55","이마트","HDC현대산업개발",-0.468053211799992
"56","카카오","맥쿼리인프라",-0.432968098367804
"57","카카오","메리츠금융지주",-0.45762793786822
"58","카카오","메리츠화재",-0.409873970304573
"59","쿠쿠홈시스","넥센타이어",-0.409501616099092
"60","하이트진로","POSCO",-0.542570531346477
"61","한국전력","CJ제일제당",-0.518435964381857
"62","한국전력","HDC현대산업개발",-0.455945026648318
"63","한국전력","삼성화재",-0.444214395343622
"64","한국전력","한섬",-0.422278928782957
"65","한국전력","현대제철",-0.424643895515896
"66","한국타이어앤테크놀로지","롯데리츠",-0.449142509264285
"67","한국항공우주","메리츠화재",-0.468100257410868
"68","한섬","한국전력",-0.422278928782957
"69","한올바이오파마","KT&G",-0.517671245761379
"70","한올바이오파마","메리츠화재",-0.491095276791368
"71","한전KPS","아이에스동서",-0.424033860354914
"72","한화에어로스페이스","KT&G",-0.453718610430932
"73","현대제철","한국전력",-0.424643895515896
"74","현대차2우B","CJ대한통운",-0.541295672120741
"75","현대차2우B","CJ제일제당",-0.516644423712031
"76","현대차2우B","삼성SDI",-0.40922480532531
"77","현대차우","삼성SDI",-0.424444262017572
"78","현대홈쇼핑","엔씨소프트",-0.487458693115533
"79","호텔신라","메리츠화재",-0.414190032173473
"80","호텔신라","휴켐스",-0.408511071058625
"81","휴켐스","NHN",-0.448476609675063
"82","휴켐스","NICE",-0.478901966758956
"83","휴켐스","롯데관광개발",-0.525897683519009
"84","휴켐스","호텔신라",-0.408511071058625
