"","cat1","cat2","val"
"1","BGF리테일","CJ대한통운",0.367769874140969
"2","BGF리테일","GKL",0.238024004998366
"3","BGF리테일","GS",0.287550598560309
"4","BGF리테일","GS건설",0.326628229910354
"5","BGF리테일","GS리테일",0.20326649168125
"6","BGF리테일","KCC",0.327595698859843
"7","BGF리테일","LG",0.336466182321184
"8","BGF리테일","LG생활건강우",0.205320909248712
"9","BGF리테일","LG화학",0.244141109953958
"10","BGF리테일","LG화학우",0.251916381345065
"11","BGF리테일","LS",0.266927663394813
"12","BGF리테일","NHN",0.345096288567972
"13","BGF리테일","OCI",0.229673006951373
"14","BGF리테일","SK네트웍스",0.239496673890506
"15","BGF리테일","SK케미칼",0.266137651251848
"16","BGF리테일","SK하이닉스",0.27063007991286
"17","BGF리테일","SPC삼립",0.396214281107521
"18","BGF리테일","넥센타이어",0.300180909215398
"19","BGF리테일","녹십자",0.266565488010757
"20","BGF리테일","녹십자홀딩스",0.251435731117304
"21","BGF리테일","농심",0.255937383693608
"22","BGF리테일","대림산업",0.295070989075114
"23","BGF리테일","대상",0.342136093747674
"24","BGF리테일","대우건설",0.328316371521435
"25","BGF리테일","대웅",0.346243303077203
"26","BGF리테일","대한항공",0.324514910351812
"27","BGF리테일","더존비즈온",0.258241908639391
"28","BGF리테일","동부제철",0.260603106222527
"29","BGF리테일","동원시스템즈",0.212594492845336
"30","BGF리테일","두산",0.222687004527235
"31","BGF리테일","두산중공업",0.296237789447189
"32","BGF리테일","락앤락",0.302050707196078
"33","BGF리테일","롯데관광개발",0.224289981651889
"34","BGF리테일","롯데쇼핑",0.35376109214975
"35","BGF리테일","미래에셋대우",0.313494170536958
"36","BGF리테일","부광약품",0.341982655473593
"37","BGF리테일","삼성SDI",0.216269687322375
"38","BGF리테일","삼성에스디에스",0.36343185452619
"39","BGF리테일","삼성전자",0.234268296394725
"40","BGF리테일","삼성전자우",0.249451946559963
"41","BGF리테일","셀트리온",0.368996307468511
"42","BGF리테일","신세계인터내셔날",0.268376216459892
"43","BGF리테일","아모레G",0.284475777967415
"44","BGF리테일","아모레퍼시픽",0.276658073026185
"45","BGF리테일","아모레퍼시픽우",0.2341244187114
"46","BGF리테일","에스엘",0.203124277331337
"47","BGF리테일","영진약품",0.390996138652399
"48","BGF리테일","오뚜기",0.255534932449452
"49","BGF리테일","오리온홀딩스",0.270621768195937
"50","BGF리테일","우리금융지주",0.24064814634306
"51","BGF리테일","웅진코웨이",0.280644757157403
"52","BGF리테일","이노션",0.3582670072741
"53","BGF리테일","제일기획",0.307701753600157
"54","BGF리테일","카카오",0.320987597135306
"55","BGF리테일","코리안리",0.216880847626942
"56","BGF리테일","코스맥스",0.262367056353983
"57","BGF리테일","코오롱인더",0.323099807619223
"58","BGF리테일","키움증권",0.243105876349536
